mean_pred,observed,n,lo,hi,model
0.00535992719233036,0.0,902,0.0,0.004240918058963067,raw_xgb
0.0210373867303133,0.0,902,0.0,0.004240918058963067,raw_xgb
0.06016235426068306,0.013303769401330377,902,0.007626370969321563,0.02310924550048949,raw_xgb
0.2102540284395218,0.2261640798226164,902,0.2000569482644367,0.25459384277894215,raw_xgb
0.4735817015171051,0.4745011086474501,902,0.44209027148780433,0.5071282232247369,raw_xgb
0.6593663096427917,0.6130820399113082,902,0.5808813623142819,0.6443235741779259,raw_xgb
0.8279390931129456,0.7957824639289678,901,0.7682295052238837,0.8208238716323528,raw_xgb
0.928623616695404,0.93007769145394,901,0.9115353150470346,0.9449681878865174,raw_xgb
0.9700847268104553,0.9622641509433962,901,0.9477310566085217,0.9728720633187671,raw_xgb
0.9907739162445068,0.9866814650388457,901,0.9768652685889665,0.9923651469887433,raw_xgb
0.009719142645971913,0.0,902,0.0,0.004240918058963067,raw_rf
0.032819660014781975,0.0022172949002217295,902,0.0006082602471622557,0.008048440880275476,raw_rf
0.08566149297856616,0.022172949002217297,902,0.014398606234689845,0.03400014250901987,raw_rf
0.2588913525498891,0.1917960088691796,902,0.16743024272555584,0.21877591075646569,raw_rf
0.4977679231337768,0.458980044345898,902,0.42670213682483416,0.4916058764083845,raw_rf
0.6580155210643015,0.6618625277161863,902,0.6303606494436739,0.6919915145549765,raw_rf
0.7787384387717351,0.8091009988901221,901,0.7821472316524732,0.8334301246494474,raw_rf
0.8674768775434701,0.9267480577136515,901,0.9078628777926474,0.9420096302794838,raw_rf
0.9210062893081761,0.9611542730299667,901,0.9464547175036724,0.9719380708031429,raw_rf
0.9645357010728819,0.9678135405105438,901,0.9541570214664363,0.977497756563221,raw_rf
1.8351913240621798e-05,0.0,902,0.0,0.004240918058963067,pca_xgb
0.0003302076947875321,0.0011086474501108647,902,0.00019572527698086825,0.0062530843162195305,pca_xgb
0.004554158542305231,0.0011086474501108647,902,0.00019572527698086825,0.0062530843162195305,pca_xgb
0.0571868009865284,0.0565410199556541,902,0.043263691017379105,0.0735796952876879,pca_xgb
0.35581764578819275,0.36363636363636365,902,0.33288251611929437,0.3955468251695137,pca_xgb
0.7678643465042114,0.6906873614190687,902,0.659767600371362,0.7199897435174591,pca_xgb
0.9629957675933838,0.9289678135405105,901,0.9103100191475794,0.943983152165499,pca_xgb
0.9942105412483215,0.974472807991121,901,0.9619860545079552,0.9829307132445443,pca_xgb
0.9986239671707153,0.9889012208657048,901,0.9796906603277169,0.9939604184909403,pca_xgb
0.9996802806854248,0.9966703662597114,901,0.9902563877928932,0.9988670123690799,pca_xgb
0.06509921221506587,0.0,902,0.0,0.004240918058963067,pca_rf
0.13540765643980723,0.0,902,0.0,0.004240918058963067,pca_rf
0.22567622801769144,0.004434589800443459,902,0.0017258082083090103,0.011346675987603385,pca_rf
0.3378052715946286,0.10199556541019955,902,0.08390253987762587,0.12346439933117175,pca_rf
0.4634229695327256,0.38248337028824836,902,0.3513287844291212,0.4146347129417215,pca_rf
0.5650018712091882,0.6740576496674058,902,0.6427860403279206,0.7038529305473404,pca_rf
0.6752800724063212,0.9012208657047724,901,0.8800019817403125,0.9190328990609237,pca_rf
0.7874048088837211,0.9644839067702553,901,0.9502922037739254,0.974731579394311,pca_rf
