case,config,n,accuracy,acc_in_box,acc_out_box,acc_M,acc_K,acc_G,acc_F+,acc_easy_targets,acc_hard_targets
grid noise (SNR 15 on own amplitude),ariel,965,0.9264248704663213,0.9253187613843351,0.9278846153846154,0.7797619047619048,0.9130434782608695,0.9629629629629629,0.9849624060150376,0.934375,0.9504643962848297
"tier-2 sigma, ExoSim2 shape, 102 bins",ariel,965,0.9523316062176166,0.9489981785063752,0.9567307692307693,0.8869047619047619,0.9371980676328503,0.9753086419753086,0.9774436090225563,0.953125,0.9659442724458205
"tier-2 sigma, tier-2 binning (51)",tier2,965,0.9222797927461139,0.9162112932604736,0.9302884615384616,0.7916666666666666,0.9130434782608695,0.9629629629629629,0.9624060150375939,0.915625,0.9442724458204335
"tier-1 sigma, tier-1 binning (7)",tier1,965,0.7844559585492228,0.7686703096539163,0.8052884615384616,0.5357142857142857,0.748792270531401,0.8518518518518519,0.8872180451127819,0.765625,0.8204334365325078
