threshold,recall,specificity,prec@0.5,prec@0.2,prec@0.1,prec@0.05,prec@0.01
0.5,0.9758207630878438,0.9409937888198758,0.9429796355841373,0.8052352187442798,0.6475783895186223,0.4653549137839842,0.14313604269026792
0.215,0.9931233362910381,0.9074977817213842,0.914793624846751,0.7285598047192838,0.5439854191980558,0.3610483870967741,0.09783653846153843
0.9,0.9094942324755989,0.9802573203194321,0.978753879207448,0.9201077199281867,0.8365639665374415,0.707995164911069,0.31755867090078244
0.99,0.7233806566104702,0.9946761313220941,0.9926940639269407,0.9714030384271672,0.937877480586713,0.8773204196933018,0.5784992017030353
