threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3
1e-5,CH4,KNN,0.5898234683281413,0.8161993769470405,0.4101765316718588,0.7082035306334372,0.8016614745586709,0.5991692627206646,0.4984423676012461,0.7673935617860852,0.6832814122533749
1e-5,CH4,MLP,0.5898234683281413,0.8265835929387332,0.4101765316718588,0.715472481827622,0.8068535825545171,0.6064382139148494,0.5109034267912772,0.7611630321910696,0.6967808930425753
1e-5,CH4,RFC,0.5898234683281413,0.822429906542056,0.4101765316718588,0.6947040498442367,0.8120456905503635,0.5825545171339563,0.4963655244029076,0.7383177570093458,0.6728971962616822
1e-5,CH4,SVC,0.5898234683281413,0.8307372793354102,0.4101765316718588,0.7237798546209762,0.8151609553478713,0.6116303219106958,0.505711318795431,0.7653167185877466,0.6957424714434061
1e-5,H2O,KNN,0.6105919003115264,0.7466251298026999,0.3956386292834891,0.5960539979231568,0.7372793354101765,0.5306334371754933,0.470404984423676,0.6988577362409139,0.671858774662513
1e-5,H2O,MLP,0.6105919003115264,0.7767393561786086,0.40602284527518173,0.6178608515057114,0.7777777777777778,0.5617860851505712,0.48701973001038423,0.7300103842159917,0.7009345794392523
1e-5,H2O,RFC,0.6105919003115264,0.7798546209761164,0.39667705088265837,0.6251298026998962,0.778816199376947,0.5628245067497404,0.4818276220145379,0.7258566978193146,0.6998961578400831
1e-5,H2O,SVC,0.6105919003115264,0.7300103842159917,0.3904465212876428,0.5846313603322949,0.7372793354101765,0.5275181723779855,0.46002076843198336,0.6988577362409139,0.6728971962616822
1e-5,CO2,KNN,0.5867082035306335,0.5981308411214953,0.46105919003115264,0.5275181723779855,0.5960539979231568,0.5347871235721703,0.5160955347871236,0.5628245067497404,0.5410176531671859
1e-5,CO2,MLP,0.5867082035306335,0.6427829698857737,0.46313603322949115,0.5233644859813084,0.6355140186915887,0.5275181723779855,0.4683281412253375,0.5835929387331257,0.5462097611630322
1e-5,CO2,RFC,0.5867082035306335,0.6344755970924195,0.4444444444444444,0.5036344755970924,0.6220145379023884,0.5005192107995846,0.48078920041536866,0.5752855659397715,0.5171339563862928
1e-5,CO2,SVC,0.5867082035306335,0.6199376947040498,0.4132917964693666,0.5046728971962616,0.6095534787123572,0.490134994807892,0.4569055036344756,0.5680166147455867,0.5316718587746625
1e-5,NH3,KNN,0.5752855659397715,0.45898234683281414,0.47767393561786087,0.48078920041536866,0.4434060228452752,0.5181723779854621,0.5150571131879543,0.48494288681204567,0.470404984423676
1e-5,NH3,MLP,0.5752855659397715,0.4444444444444444,0.4953271028037383,0.46625129802699894,0.42782969885773625,0.46936656282450673,0.47767393561786087,0.44963655244029077,0.4569055036344756
1e-5,NH3,RFC,0.5752855659397715,0.45067497403946,0.47767393561786087,0.47767393561786087,0.45586708203530635,0.49117341640706125,0.4672897196261682,0.48390446521287644,0.4818276220145379
1e-5,NH3,SVC,0.5752855659397715,0.42471443406022846,0.42471443406022846,0.4215991692627207,0.42471443406022846,0.42471443406022846,0.42471443406022846,0.4236760124610592,0.42471443406022846
1e-4,CH4,KNN,0.37590861889927313,0.8463136033229491,0.6240913811007269,0.7435098650051921,0.8431983385254413,0.7175493250259606,0.6666666666666666,0.7995846313603323,0.7570093457943925
1e-4,CH4,MLP,0.37590861889927313,0.8629283489096573,0.6240913811007269,0.7590861889927311,0.8608515057113187,0.7289719626168224,0.6708203530633438,0.8245067497403946,0.7736240913811008
1e-4,CH4,RFC,0.37590861889927313,0.8650051921079959,0.6240913811007269,0.7435098650051921,0.8639667705088265,0.711318795430945,0.660436137071651,0.8068535825545171,0.7497403946002077
1e-4,CH4,SVC,0.37590861889927313,0.8691588785046729,0.6240913811007269,0.7694704049844237,0.8681204569055037,0.7237798546209762,0.6687435098650052,0.818276220145379,0.7767393561786086
1e-4,H2O,KNN,0.3821391484942887,0.8400830737279336,0.6188992731048806,0.7393561786085151,0.8431983385254413,0.7050882658359294,0.6635514018691588,0.8089304257528557,0.7736240913811008
1e-4,H2O,MLP,0.3821391484942887,0.8598130841121495,0.6178608515057114,0.7300103842159917,0.8566978193146417,0.7165109034267912,0.671858774662513,0.8276220145379024,0.8058151609553479
