component,explained_variance_ratio,auc_train,auc_test,mutual_information,pearson_r
0,0.9714898580661763,0.5055354858877581,0.507970281239345,0.013144428640157413,0.0074861685094168426
1,0.012585412217344612,0.5301221131048693,0.5317375906026243,0.021664794425700684,-0.023462069903660208
2,0.008113435371559213,0.5252404507640049,0.521030807641967,0.006551390712743466,-0.07938258606057665
3,0.0038867691942091613,0.6203976435935199,0.642890924889187,0.03408300400877895,0.10249402620504061
4,0.001204990136960976,0.6438323746122738,0.6499631540162122,0.03875713024561911,0.08928819355882339
5,0.0007821131944495938,0.5561104983808511,0.5703021370670597,0.015830091918640266,-0.05582955550097435
6,0.0007523739362549569,0.5181281934437129,0.5242133107491282,0.010847264690596825,-0.03341088619385874
7,0.00025586696488952087,0.5305998225650577,0.5544220679945886,0.005305689153827009,0.010943588083920857
8,0.00021812414725231485,0.5390791654834002,0.5375257096976429,0.023775009379504386,-0.014922335277197007
9,0.00012191756637966915,0.6625720141507669,0.6538534299761326,0.06336581097758898,0.11584558585673241
10,9.765151235962679e-05,0.5356284300970169,0.5396127322121889,0.004674035914121744,0.0658617209722667
11,7.806813063255478e-05,0.5304418702435438,0.5509634949790472,0.014966561371758447,0.024148375967256077
12,7.10624753846898e-05,0.5668264902003518,0.5600067092686897,0.006148797824551133,-0.095913828148116
13,5.6225910345485326e-05,0.5133378902853268,0.5329870544110692,0.008040044021459192,0.00047882437097213407
14,4.419374496596877e-05,0.5762717088129691,0.5765445066487752,0.03308020441752513,-0.045266534590670295
15,3.2403666064334094e-05,0.5230093054280562,0.5146240059833479,0.0,-0.0036370652857656686
16,2.499559937606112e-05,0.503515127099335,0.5290406845653823,0.0038988639134325265,-0.02511749151569224
17,2.0220791540915728e-05,0.5018233311539215,0.5013149066751724,0.014929963350615916,-0.010709814466743921
18,1.9996416735695024e-05,0.505958159695851,0.5072300619232504,0.007804116162033914,-0.024083737318357105
19,1.6588698131098475e-05,0.5055167737660458,0.5122515645794607,0.016882556760267287,-0.000807606726981681
20,1.1341806161531646e-05,0.5678220851467581,0.560994951550281,0.026658405771136984,0.060871098803529394
21,1.0740796923188007e-05,0.5149900605612315,0.5221983303819884,0.0,-0.013628219143935314
22,9.615169071745558e-06,0.5472574633847807,0.5189641329095129,0.007092567430657892,0.043191198849131404
23,9.20349577292884e-06,0.604833561180933,0.6114294041949426,0.04080908037295394,0.025343551880151406
24,8.635072896240616e-06,0.5358287598706442,0.5414302840990333,0.0,-0.02876169296567746
25,7.2344416174468745e-06,0.5390406405269333,0.5252658960173341,0.005879040498560251,-0.04914598294200475
26,6.474061699110949e-06,0.5094353121952401,0.5029438291226256,0.0,0.0012763174620340778
27,5.955051722400326e-06,0.5129812592597485,0.5117368206865451,0.0,-0.018979817724641707
28,4.940996800057054e-06,0.5395392635349179,0.5357823997184307,0.016836240365956323,-0.019410221049834718
29,4.6972592008156946e-06,0.5361176970441452,0.5413846390743409,0.0,0.03546158530737534
30,4.069252864403186e-06,0.5036752808469327,0.5201267061890253,0.010315495156820065,0.0032127250730601127
31,3.6885045270535193e-06,0.5053516668097594,0.5171960756277566,0.012822377391339845,-0.0022107614098833155
32,3.053931655649854e-06,0.5215189399693121,0.5003244646333549,0.01225034695093985,0.018280821571966678
