model,taurex_acc,exotransmit_acc,delta_pts,taurex_brier,exotransmit_brier
XGBoost,0.8891360771227289,0.8479792361883575,-4.115684093437144,0.08018488156621653,0.11192188916610257
MLP,0.777618882321773,0.6953486782372855,-8.227020408448748,,
