family,strength,w_mean,w_sd,u_mean,u_sd,diff_mean,diff_sd
white noise,15.0,0.7933595188289165,0.021229696165705525,0.7574370460909752,0.024904580709687242,0.03592247273794136,0.030875076739266094
white noise,12.0,0.690790837940329,0.012053468877048596,0.7470519443435089,0.026679017450590443,-0.05626110640317994,0.021390429428209814
white noise,10.0,0.6490546109186932,0.010604095838514438,0.7380982161271771,0.0259352201946309,-0.08904360520848376,0.018239593421520362
white noise,8.0,0.6164435713644735,0.006717764849884757,0.7226369325112066,0.024855654185356967,-0.10619336114673321,0.01995582338688726
white noise,5.0,0.5699516274952818,0.0031798229953273515,0.6799990457215657,0.019921541229341252,-0.11004741822628375,0.017405174571132605
correlated noise,15.0,0.7933595188289165,0.021229696165705525,0.7574370460909752,0.024904580709687242,0.03592247273794136,0.030875076739266094
correlated noise,12.0,0.6940605182264747,0.011029175844635943,0.7287802437638009,0.0245830410366283,-0.034719725537326294,0.02108001765196689
correlated noise,10.0,0.645848834607221,0.010146442137821423,0.7072321245145676,0.021723119968052047,-0.06138328990734676,0.019611243744949856
correlated noise,8.0,0.6127234442276485,0.008984219265058064,0.684604209932523,0.021763622931209814,-0.07188076570487467,0.01799602995451179
correlated noise,5.0,0.5662015380528669,0.0027619082600697253,0.6303042071954186,0.015454649530890121,-0.06410266914255185,0.013557744090141167
gain ramp,0.0,0.7933595188289165,0.021229696165705525,0.7574370460909752,0.024904580709687242,0.03592247273794136,0.030875076739266094
gain ramp,0.25,0.7922479662684763,0.019239954200573655,0.7570509865124719,0.02529240659481493,0.03519697975600422,0.030067502302106846
gain ramp,0.5,0.7900355452948977,0.020719017366759594,0.7582415497661911,0.026059443579913223,0.031793995528706744,0.0316682462969733
gain ramp,1.0,0.7822611096831251,0.020080650229346107,0.7565223521943875,0.02603894999628596,0.02573875748873782,0.027368852998131524
gain ramp,2.0,0.7536358726572898,0.023079848964075233,0.745921345663899,0.024839171955802417,0.007714526993390769,0.026326850135755597
baseline offset,0.0,0.7933595188289165,0.021229696165705525,0.7574370460909752,0.024904580709687242,0.03592247273794136,0.030875076739266094
baseline offset,0.25,0.7932846124618753,0.021279692329026934,0.7574366322693324,0.02493743237722688,0.03584798019254305,0.030763671472192104
baseline offset,0.5,0.7932104009590923,0.021152395812460124,0.7578088046543459,0.024954381425398176,0.035401596304746596,0.03040932584528994
baseline offset,1.0,0.7932850262835183,0.021112677249098637,0.7578830161571288,0.025115764105108816,0.03540201012638944,0.03046599675689456
baseline offset,2.0,0.793355681987092,0.020863372290642345,0.757956262587917,0.024799854771193505,0.03539941939917497,0.02977765921874442
resolution loss,0.0,0.7933595188289165,0.021229696165705525,0.7574370460909752,0.024904580709687242,0.03592247273794136,0.030875076739266094
resolution loss,200.0,0.730397123300842,0.012452054966149755,0.7505071368685436,0.029104595113677034,-0.0201100135677017,0.018086794993054576
resolution loss,150.0,0.6400411944402045,0.010306177631161218,0.7050273863604284,0.0360135448322966,-0.06498619192022403,0.03562919719735621
resolution loss,100.0,0.6677763234435712,0.011447842347147564,0.7011329317674353,0.02803386902338932,-0.03335660832386411,0.02751854097953001
resolution loss,75.0,0.6075451811568989,0.014308701666846231,0.6574553955497617,0.024520990753395436,-0.049910214392862876,0.023785307101621512
stellar contamination,0.0,0.7933595188289165,0.021229696165705525,0.7574370460909752,0.024904580709687242,0.03592247273794136,0.030875076739266094
stellar contamination,0.25,0.7933012066438542,0.021350847452962233,0.7563950759739152,0.028070313849044366,0.03690613066993893,0.03095018312189877
stellar contamination,0.5,0.7806321046864687,0.020045700300212348,0.7506876270467431,0.02896506385590635,0.029944477639725697,0.031074704219089293
stellar contamination,1.0,0.744621041700883,0.020390550423414894,0.7331820512185743,0.029656855959805065,0.011438990482308653,0.030322287205741913
stellar contamination,2.0,0.6486717937496944,0.02444618564153809,0.6973038230480154,0.024051234415969368,-0.04863202929832104,0.021539096906085835
