family,strength,xgboost_acc,xgboost_f1,xgboost_brier,mlp_w_acc,mlp_w_f1,mlp_w_brier,mlp_u_acc,mlp_u_f1,mlp_u_brier
white noise,15.0,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7734529803632577,0.8095614769335915,0.14052092223752957,0.7074908913213018,0.7689365325772142,0.16276231563602103
white noise,12.0,0.8268659255054533,0.8248715845009782,0.12078805451440637,0.6839497269599819,0.7295158392757966,0.2132310329369706,0.6978642145064233,0.7623646022893299,0.16912182220532027
white noise,10.0,0.8068424755172081,0.8053712479393242,0.13892629192093559,0.6447154835488496,0.690613334971854,0.24638479894275336,0.6933789046248061,0.7580211450464889,0.17539533463495952
white noise,8.0,0.780534276235602,0.7772038037301078,0.154446903796231,0.6169485472344205,0.6628089738652576,0.2748452638953346,0.6863259474755408,0.7519964438622649,0.1834282364086321
white noise,5.0,0.7385831067862867,0.7319979205046155,0.19033834001315503,0.5717553640961511,0.6160520887684493,0.3121765355596908,0.6618599036468878,0.729261148808886,0.20827368954150954
correlated noise,15.0,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7734529803632577,0.8095614769335915,0.14052092223752957,0.7074908913213018,0.7689365325772142,0.16276231563602103
correlated noise,12.0,0.7942312283889755,0.7898995263504566,0.15053882722064074,0.6843974200369778,0.7249554306152597,0.20447822524685427,0.6907631133106162,0.7544602734611404,0.1813198244809478
correlated noise,10.0,0.7556971252824026,0.7478706386641896,0.18417714933963522,0.6461793290250817,0.6840003363034122,0.23568761093797078,0.6710924491346055,0.7387909902623229,0.1959468177825995
correlated noise,8.0,0.7189800183186359,0.7103589773783375,0.207442447795786,0.6150386868166553,0.651598041388508,0.26297005536228985,0.6517375685755559,0.7215882243267939,0.2141304720249651
correlated noise,5.0,0.6689402631611843,0.6572975062307298,0.250227533579719,0.5686564258844384,0.5988810109604884,0.3005693339335048,0.6113396214969342,0.6823969807776631,0.2549199455547616
gain ramp,0.0,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7734529803632577,0.8095614769335915,0.14052092223752957,0.7074908913213018,0.7689365325772142,0.16276231563602103
gain ramp,0.25,0.8906699978838191,0.8901761643484833,0.08019001667028176,0.771197260977379,0.808232712893864,0.14029469641013162,0.7071197481048046,0.7685770200312128,0.1624564368074582
gain ramp,0.5,0.8855047303324518,0.8848637463038637,0.08098866560229678,0.7719367210268575,0.8079237372828807,0.140828016550796,0.7078529929363963,0.7690232974342747,0.1624817537855447
gain ramp,1.0,0.885065883601088,0.8843928659565702,0.0833926690736096,0.7674843913661201,0.8034737816725596,0.14470671445326794,0.7115343417142477,0.7716940421346992,0.1634283319775051
gain ramp,2.0,0.8620966038332325,0.8616741419248246,0.09708808596347276,0.7452102414033424,0.7809200800584996,0.1591655274768699,0.705938122450474,0.7664111762296899,0.16890482776982435
baseline offset,0.0,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7734529803632577,0.8095614769335915,0.14052092223752957,0.7074908913213018,0.7689365325772142,0.16276231563602103
baseline offset,0.25,0.8891822858292876,0.8887324813706707,0.08013848819258312,0.7734529803632577,0.8095614769335915,0.1405261070683244,0.7074908913213018,0.7689365325772142,0.16276531352876522
baseline offset,0.5,0.8891822858292876,0.8887324813706707,0.08013242040557118,0.7734529803632577,0.8095614769335915,0.1405325294460131,0.7074908913213018,0.7689365325772142,0.1627694030476739
baseline offset,1.0,0.8888152731516377,0.888358466537095,0.07986623321035108,0.7734529803632577,0.8095614769335915,0.14054945211629435,0.7071198338073872,0.768712332115625,0.16278054244775883
baseline offset,2.0,0.8873322775060897,0.8869457791601608,0.08015530433009259,0.7730805408846729,0.809302759763783,0.1405632074302726,0.7074963181222366,0.7688050421838817,0.16282996525550936
resolution loss,0.0,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7734529803632577,0.8095614769335915,0.14052092223752957,0.7074908913213018,0.7689365325772142,0.16276231563602103
resolution loss,200.0,0.8632307615775036,0.8642056075330714,0.09659096979007767,0.7215060799544957,0.760770426269487,0.18288161363839964,0.7030345091467181,0.7659864225877507,0.16674399524925437
resolution loss,150.0,0.8265222921550313,0.8400475733967696,0.12983068830488742,0.6399890571763476,0.7341390403551751,0.24129586494470723,0.6622637384483301,0.7447925301375233,0.1885238573060141
resolution loss,100.0,0.7838667130188549,0.7937490743087299,0.1623840730472886,0.6380098639010237,0.7277995231861365,0.2390085275765145,0.6592131690896466,0.7424036725635343,0.19753905531748378
resolution loss,75.0,0.7367550464306771,0.7477474236258985,0.19733555032170838,0.5913282628800351,0.7074341733850649,0.29218627248701023,0.6276709932407367,0.725449089627447,0.226910465562895
stellar contamination,0.0,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7734529803632577,0.8095614769335915,0.14052092223752957,0.7074908913213018,0.7689365325772142,0.16276231563602103
stellar contamination,0.25,0.8854714000101968,0.8852005311228934,0.08153561751554722,0.7674835724097158,0.8045284174914314,0.14361375637380674,0.7048939116843133,0.7672320758914803,0.164216539555641
stellar contamination,0.5,0.8869614144300846,0.8867742539700011,0.08241485197116734,0.7596748671305862,0.7981872900867254,0.15136051893806768,0.7022984383181472,0.7654035239421424,0.1672225182221215
stellar contamination,1.0,0.8728639372511158,0.8725125175397139,0.09004859275695076,0.7200463010682014,0.7639360452264837,0.17682567091065185,0.6855954923333155,0.75361118892816,0.1769133290991777
stellar contamination,2.0,0.8340360680247286,0.8309363093885624,0.11885130935765857,0.645508635881952,0.6936075943447422,0.23983512072044033,0.6629241131856858,0.7340562137833766,0.20007839443644956
