condition,bins_masked,overall_acc,o3_subset_acc,ch4_subset_acc
unmasked,0,0.8891360771227289,0.8788716814159292,0.8726256983240224
mask 0.5-1.0 um,139,0.8209121245828699,0.8180309734513275,0.8273743016759777
mask 1.0-2.0 um,139,0.6599925843529848,0.6476769911504425,0.5994413407821229
mask 2.0-4.0 um,138,0.6800148312940304,0.7925884955752213,0.7128491620111732
mask 3.9-7.8 um,139,0.542825361512792,0.34126106194690264,0.39217877094972065
