test_set,cloud_pa,xgb_acc,xgb_f1,xgb_brier,mlp_acc,mlp_f1,mlp_brier,feature_amp
clear (no clouds),,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.764168759003831,0.8027156291062368,0.13828473390511997,0.0
cloud top 1e+05 Pa,100000.0,0.8103130755064457,0.8150807899461401,0.1317616255927399,0.7605893186003683,0.7987616099071208,0.14997848061428368,0.9200549348113668
cloud top 1e+04 Pa,10000.0,0.7490421455938697,0.7605118829981719,0.17883205720955292,0.6992337164750958,0.7535321821036107,0.19565590383938275,0.7275526837603274
cloud top 1e+03 Pa,1000.0,0.7142857142857143,0.7288732394366197,0.20924381480498463,0.6307977736549165,0.7077826725403817,0.23571176239851302,0.5004168892518371
cloud top 1e+02 Pa,100.0,0.6473880597014925,0.6791171477079796,0.27010946273049,0.6119402985074627,0.6848484848484848,0.26023097627891145,0.27116759360969134
cloud top 1e+01 Pa,10.0,0.5535055350553506,0.6288343558282209,0.35074154825782955,0.507380073800738,0.6255259467040674,0.32858205841224586,0.029251420067951846
