margin_bin,n,positive_fraction,accuracy,majority_baseline,gain,mean_probability
0 - 0.25,236,0.6440677966101694,0.6186440677966102,0.6440677966101694,-0.025423728813559254,0.5150507688522339
0.25 - 0.5,258,0.6705426356589147,0.7596899224806202,0.6705426356589147,0.08914728682170547,0.5859898924827576
0.5 - 1,454,0.6211453744493393,0.8590308370044053,0.6211453744493393,0.23788546255506604,0.5929931998252869
1 - 2,908,0.5022026431718062,0.948237885462555,0.5022026431718062,0.44603524229074887,0.5210458636283875
> 2,841,0.34958382877526756,0.9571938168846611,0.6504161712247325,0.3067776456599286,0.38845378160476685
