set,n,base_acc,swap_acc,base_brier,swap_brier,base_amp,swap_amp,flip_fraction,median_prob_change
1,539,0.8775510204081632,0.7031539888682746,0.09620938878197766,0.22368344690304384,0.9811693672450758,0.9570572099353983,0.300556586270872,0.17195213
2,534,0.900749063670412,0.7640449438202247,0.06898054069509608,0.18289300529100289,0.8378583169814741,0.7923320876250777,0.2303370786516854,0.11578241
3,547,0.886654478976234,0.720292504570384,0.07721480132515754,0.20481553125322452,1.0652728928796917,1.0336298765041692,0.27239488117001825,0.13907266
4,537,0.8994413407821229,0.7206703910614525,0.06421863420590938,0.20848295341956738,0.8777969071426587,0.8991009988726928,0.2718808193668529,0.12661076
5,540,0.8814814814814815,0.7333333333333333,0.09430104282294206,0.19648082784705498,0.9776088596534463,0.9453162672442618,0.26296296296296295,0.14080879
