set,overall,0.5-1.0um,1.0-2.0um,2.0-4.0um,4.0-7.8um
deck 1e5 Pa,0.9400375652792448,0.8569076620969208,0.9248516494455198,0.9523618647989329,0.9373682390572642
deck 1e4 Pa,0.825779118765927,0.4262612842312502,0.6515344713146421,0.8746345348600958,0.8991443540830552
deck 1e3 Pa,0.5840427845489591,0.08472208675300368,0.32583629426843086,0.7188979002628401,0.7883148875366364
deck 1e2 Pa,0.29869983344884404,0.01059439705070513,0.09573339094606562,0.4676933657603122,0.5680252615662267
haze 2e5 m-3,0.946931892317531,0.98131887791354,0.9995724253458649,0.9739257414451142,0.9496030385528236
haze 2e6 m-3,0.7938916274139669,1.485828902655743,0.9639068474958241,0.9675592888666669,0.9398775398012104
haze 3e7 m-3,0.5865570273654213,0.8927968090725824,0.7687773629966358,0.9211860953205092,0.9193028733443075
haze 2.4e8 m-3,0.43555286649178154,0.05282227596658436,0.7500714384784706,0.791631247558934,0.8988723073831946
haze 1e10 m-3,0.24941645881518273,1.2104133616549219e-08,0.0031038094377908005,0.2516600873968441,0.6887782190860343
