test_set,haze_mix,xgb_acc,xgb_f1,xgb_brier,mlp_acc,mlp_f1,mlp_brier,feature_amp
clear (no haze),,0.8891754770636828,0.8887409279406002,0.08018488156621653,0.7967012235337023,0.8255851281406599,0.1331084472144735,1.0
haze 2.0e+05 m^-3,200000.0,0.8536585365853658,0.8522727272727273,0.11027847080200559,0.8067542213883677,0.823327615780446,0.14387518882087255,0.86381999306266
haze 2.0e+06 m^-3,2000000.0,0.7962962962962963,0.7708333333333334,0.1450209378352595,0.6574074074074074,0.6072186836518046,0.2675949983795342,0.7427794242553141
haze 3.0e+07 m^-3,30000000.0,0.671003717472119,0.5473145780051151,0.25661405244506325,0.5594795539033457,0.390745501285347,0.3645551663943457,0.5776495372720996
haze 2.4e+08 m^-3,240000000.0,0.6324626865671642,0.4909560723514212,0.2564948290172285,0.6380597014925373,0.6655172413793103,0.264548385730512,0.5032903788588456
haze 1.0e+10 m^-3,10000000000.0,0.6036697247706422,0.6156583629893239,0.2694250327264839,0.6495412844036698,0.7275320970042796,0.25696445596869916,0.29682967867851284
