set,n,base_acc,swap_acc,base_brier,swap_brier,base_amp,swap_amp,flip_fraction,median_prob_change
1,539,0.8775510204081632,0.62708719851577,0.09620938878197766,0.2920218516213078,0.9811693672450758,0.8699815832473491,0.3432282003710575,0.1925711
2,534,0.900749063670412,0.700374531835206,0.06898054069509608,0.23254902502902916,0.8378583169814741,0.7482518454975439,0.301498127340824,0.15960541
3,547,0.886654478976234,0.680073126142596,0.07721480132515754,0.23656664145215836,1.0652728928796917,0.9349051499513583,0.30895795246800734,0.16583218
4,537,0.8994413407821229,0.6424581005586593,0.06421863420590938,0.2630323361503077,0.8777969071426587,0.7630365987171002,0.33147113594040967,0.16144937
5,540,0.8814814814814815,0.6518518518518519,0.09430104282294206,0.24058255358558892,0.9776088596534463,0.8771195245253174,0.34814814814814815,0.18337798
