# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
1.87200,0.0,-5580.00
1.87434,0.0,-5562.00
1.87668,0.0,-5544.00
1.87903,0.0,-5526.00
1.88138,0.0,-5508.00
1.88373,0.0,-5490.00
1.88608,0.0,-5472.00
1.88844,0.0,-5454.00
1.89080,0.0,-5436.00
1.89317,0.0,-5418.00
1.89553,0.0,-5400.00
1.89790,0.0,-5382.00
1.90027,0.0,-5364.00
1.90265,0.0,-5346.00
1.90503,0.0,-5328.00
1.90741,0.0,-5310.00
1.90979,0.0,-5292.00
1.91218,0.0,-5274.00
1.91457,0.0,-5256.00
1.91696,0.0,-5238.00
1.91936,0.0,-5220.00
1.92176,0.0,-5202.00
1.92416,0.0,-5184.00
1.92657,0.0,-5166.00
1.92897,0.0,-5148.00
1.93139,0.0,-5130.00
1.93380,0.0,-5112.00
1.93622,0.0,-5094.00
1.93864,0.0,-5076.00
1.94106,0.0,-5058.00
1.94349,0.0,-5040.00
1.94592,0.0,-5022.00
1.94835,0.0,-5004.00
1.95078,0.0,-4986.00
1.95322,0.0,-4968.00
1.95566,0.0,-4950.00
1.95811,0.0,-4932.00
1.96056,0.0,-4914.00
1.96301,0.0,-4896.00
1.96546,0.0,-4878.00
1.96792,0.0,-4860.00
1.97038,0.0,-4842.00
1.97284,0.0,-4824.00
1.97531,0.0,-4806.00
1.97778,0.0,-4788.00
1.98025,0.0,-4770.00
1.98272,0.0,-4752.00
1.98520,0.0,-4734.00
1.98768,0.0,-4716.00
1.99017,0.0,-4698.00
1.99266,0.0,-4680.00
1.99515,0.0,-4662.00
1.99764,0.0,-4644.00
2.00014,0.0,-4626.00
2.00264,0.0,-4608.00
2.00514,0.0,-4590.00
2.00765,0.0,-4572.00
2.01016,0.0,-4554.00
2.01267,0.0,-4536.00
2.01519,0.0,-4518.00
2.01770,0.0,-4500.00
2.02023,0.0,-4482.00
2.02275,0.0,-4464.00
2.02528,0.0,-4446.00
2.02781,0.0,-4428.00
2.03035,0.0,-4410.00
2.03288,0.0,-4392.00
2.03543,0.0,-4374.00
2.03797,0.0,-4356.00
2.04052,0.0,-4338.00
2.04307,0.0,-4320.00
2.04562,0.0,-4302.00
2.04818,0.0,-4284.00
2.05074,0.0,-4266.00
2.05330,0.0,-4248.00
2.05587,0.0,-4230.00
2.05844,0.0,-4212.00
2.06101,0.0,-4194.00
2.06359,0.0,-4176.00
2.06617,0.0,-4158.00
2.06875,0.0,-4140.00
2.07134,0.0,-4122.00
2.07393,0.0,-4104.00
2.07652,0.0,-4086.00
2.07911,0.0,-4068.00
2.08171,0.0,-4050.00
2.08431,0.0,-4032.00
2.08692,0.0,-4014.00
2.08953,0.0,-3996.00
2.09214,0.0,-3978.00
2.09476,0.0,-3960.00
2.09737,0.0,-3942.00
2.10000,0.0,-3924.00
2.10262,0.0,-3906.00
2.10525,0.0,-3888.00
2.10788,0.0,-3870.00
2.11052,0.0,-3852.00
2.11315,0.0,-3834.00
2.11580,0.0,-3816.00
2.11844,0.0,-3798.00
2.12109,0.0,-3780.00
2.12374,0.0,-3762.00
2.12639,0.0,-3744.00
2.12905,0.0,-3726.00
2.13171,0.0,-3708.00
2.13438,0.0,-3690.00
2.13705,0.0,-3672.00
2.13972,0.0,-3654.00
2.14239,0.0,-3636.00
2.14507,0.0,-3618.00
2.14775,0.0,-3600.00
2.15044,0.0,-3582.00
2.15312,0.0,-3564.00
2.15582,0.0,-3546.00
2.15851,0.0,-3528.00
2.16121,0.0,-3510.00
2.16391,0.0,-3492.00
2.16662,0.0,-3474.00
2.16932,0.0,-3456.00
2.17203,0.0,-3438.00
2.17475,0.0,-3420.00
2.17747,0.0,-3402.00
2.18019,0.0,-3384.00
2.18292,0.0,-3366.00
2.18564,0.0,-3348.00
2.18838,0.0,-3330.00
2.19111,0.0,-3312.00
2.19385,0.0,-3294.00
2.19659,0.0,-3276.00
2.19934,0.0,-3258.00
2.20209,0.0,-3240.00
2.20484,0.0,-3222.00
2.20760,0.0,-3204.00
2.21036,0.0,-3186.00
2.21312,0.0,-3168.00
2.21589,0.0,-3150.00
2.21866,0.0,-3132.00
2.22143,0.0,-3114.00
2.22421,0.0,-3096.00
2.22699,0.0,-3078.00
2.22977,0.0,-3060.00
2.23256,0.0,-3042.00
2.23535,0.0,-3024.00
2.23814,0.0,-3006.00
2.24094,0.0,-2988.00
2.24374,0.0,-2970.00
2.24654,0.0,-2952.00
2.24935,0.0,-2934.00
2.25216,0.0,-2916.00
2.25498,0.0,-2898.00
2.25780,0.0,-2880.00
2.26062,0.0,-2862.00
2.26345,0.0,-2844.00
2.26628,0.0,-2826.00
2.26911,0.0,-2808.00
2.27195,0.0,-2790.00
2.27479,0.0,-2772.00
2.27763,0.0,-2754.00
2.28048,0.0,-2736.00
2.28333,0.0,-2718.00
2.28618,0.0,-2700.00
2.28904,0.0,-2682.00
2.29190,0.0,-2664.00
2.29476,0.0,-2646.00
2.29763,0.0,-2628.00
2.30050,0.0,-2610.00
2.30338,0.0,-2592.00
2.30626,0.0,-2574.00
2.30914,0.0,-2556.00
2.31203,0.0,-2538.00
2.31492,0.0,-2520.00
2.31781,0.0,-2502.00
2.32071,0.0,-2484.00
2.32361,0.0,-2466.00
2.32652,0.0,-2448.00
2.32942,0.0,-2430.00
2.33234,0.0,-2412.00
2.33525,0.0,-2394.00
2.33817,0.0,-2376.00
2.34109,0.0,-2358.00
2.34402,0.0,-2340.00
2.34695,0.0,-2322.00
2.34988,0.0,-2304.00
2.35282,0.0,-2286.00
2.35576,0.0,-2268.00
2.35871,0.0,-2250.00
2.36165,0.0,-2232.00
2.36461,0.0,-2214.00
2.36756,0.0,-2196.00
2.37052,0.0,-2178.00
2.37348,0.0,-2160.00
2.37645,0.0,-2142.00
2.37942,0.0,-2124.00
2.38240,0.0,-2106.00
2.38537,0.0,-2088.00
2.38836,0.0,-2070.00
2.39134,0.0,-2052.00
2.39433,0.0,-2034.00
2.39732,0.0,-2016.00
2.40032,0.0,-1998.00
2.40332,0.0,-1980.00
2.40632,0.0,-1962.00
2.40933,0.0,-1944.00
2.41234,0.0,-1926.00
2.41536,0.0,-1908.00
2.41838,0.0,-1890.00
2.42140,0.0,-1872.00
2.42443,0.0,-1854.00
2.42746,0.0,-1836.00
2.43049,0.0,-1818.00
2.43353,0.0,-1800.00
2.43657,0.0,-1782.00
2.43962,0.0,-1764.00
2.44267,0.0,-1746.00
2.44572,0.0,-1728.00
2.44878,0.0,-1710.00
2.45184,0.0,-1692.00
2.45490,0.0,-1674.00
2.45797,0.0,-1656.00
2.46105,0.0,-1638.00
2.46412,0.0,-1620.00
2.46720,0.0,-1602.00
2.47029,0.0,-1584.00
2.47337,0.0,-1566.00
2.47647,0.0,-1548.00
2.47956,0.0,-1530.00
2.48266,0.0,-1512.00
2.48576,0.0,-1494.00
2.48887,0.0,-1476.00
2.49198,0.0,-1458.00
2.49510,0.0,-1440.00
2.49822,0.0,-1422.00
2.50134,0.0,-1404.00
2.50447,0.0,-1386.00
2.50760,0.0,-1368.00
2.51073,0.0,-1350.00
2.51387,0.0,-1332.00
2.51701,0.0,-1314.00
2.52016,0.0,-1296.00
2.52331,0.0,-1278.00
2.52646,0.0,-1260.00
2.52962,0.0,-1242.00
2.53278,0.0,-1224.00
2.53595,0.0,-1206.00
2.53912,0.0,-1188.00
2.54229,0.0,-1170.00
2.54547,0.0,-1152.00
2.54865,0.0,-1134.00
2.55184,0.0,-1116.00
2.55503,0.0,-1098.00
2.55822,0.0,-1080.00
2.56142,0.0,-1062.00
2.56462,0.0,-1044.00
2.56783,0.0,-1026.00
2.57104,0.0,-1008.00
2.57425,0.0,-990.00
2.57747,0.0,-972.00
2.58069,0.0,-954.00
2.58392,0.0,-936.00
2.58715,0.0,-918.00
2.59038,0.0,-900.00
2.59362,0.0,-882.00
2.59686,0.0,-864.00
2.60011,0.0,-846.00
2.60336,0.0,-828.00
2.60661,0.0,-810.00
2.60987,0.0,-792.00
2.61313,0.0,-774.00
2.61640,0.0,-756.00
2.61967,0.0,-738.00
2.62294,0.0,-720.00
2.62622,0.0,-702.00
2.62950,0.0,-684.00
2.63279,0.0,-666.00
2.63608,0.0,-648.00
2.63938,0.0,-630.00
2.64268,0.0,-612.00
2.64598,0.0,-594.00
2.64929,0.0,-576.00
2.65260,0.0,-558.00
2.65591,0.0,-540.00
2.65923,0.0,-522.00
2.66256,0.0,-504.00
2.66589,0.0,-486.00
2.66922,0.0,-468.00
2.67255,0.0,-450.00
2.67590,0.0,-432.00
2.67924,0.0,-414.00
2.68259,0.0,-396.00
2.68594,0.0,-378.00
2.68930,0.0,-360.00
2.69266,0.0,-342.00
2.69603,0.0,-324.00
2.69940,0.0,-306.00
2.70277,0.0,-288.00
2.70615,0.0,-270.00
2.70953,0.0,-252.00
2.71292,0.0,-234.00
2.71631,0.0,-216.00
2.71971,0.0,-198.00
2.72311,0.0,-180.00
2.72651,0.0,-162.00
2.72992,0.0,-144.00
2.73333,0.0,-126.00
2.73675,0.0,-108.00
2.74017,0.0,-90.00
2.74359,0.0,-72.00
2.74702,0.0,-54.00
2.75046,0.0,-36.00
2.75389,0.0,-18.00
2.75734,0.0,0.00
2.76078,0.0,18.00
2.76423,0.0,36.00
2.76769,0.0,54.00
2.77115,0.0,72.00
2.77461,0.0,90.00
2.77808,0.0,108.00
2.78155,0.0,126.00
2.78503,0.0,144.00
2.78851,0.0,162.00
2.79200,0.0,180.00
2.79549,0.0,198.00
2.79898,0.0,216.00
2.80248,0.0,234.00
2.80598,0.0,252.00
2.80949,0.0,270.00
2.81300,0.0,288.00
2.81652,0.0,306.00
2.82004,0.0,324.00
2.82357,0.0,342.00
2.82710,0.0,360.00
2.83063,0.0,378.00
2.83417,0.0,396.00
2.83771,0.0,414.00
2.84126,0.0,432.00
2.84481,0.0,450.00
2.84836,0.0,468.00
2.85193,0.0,486.00
2.85549,0.0,504.00
2.85906,0.0,522.00
2.86263,0.0,540.00
2.86621,0.0,558.00
2.86979,0.0,576.00
2.87338,0.0,594.00
2.87697,0.0,612.00
2.88057,0.0,630.00
2.88417,0.0,648.00
2.88778,0.0,666.00
2.89139,0.0,684.00
2.89500,0.0,702.00
2.89862,0.0,720.00
2.90224,0.0,738.00
2.90587,0.0,756.00
2.90950,0.0,774.00
2.91314,0.0,792.00
2.91678,0.0,810.00
2.92043,0.0,828.00
2.92408,0.0,846.00
2.92773,0.0,864.00
2.93139,0.0,882.00
2.93506,0.0,900.00
2.93872,0.0,918.00
2.94240,0.0,936.00
2.94608,0.0,954.00
2.94976,0.0,972.00
2.95345,0.0,990.00
2.95714,0.0,1008.00
2.96083,0.0,1026.00
2.96453,0.0,1044.00
2.96824,0.0,1062.00
2.97195,0.0,1080.00
2.97567,0.0,1098.00
2.97939,0.0,1116.00
2.98311,0.0,1134.00
2.98684,0.0,1152.00
2.99057,0.0,1170.00
2.99431,0.0,1188.00
2.99805,0.0,1206.00
3.00180,0.0,1224.00
3.00555,0.0,1242.00
3.00931,0.0,1260.00
3.01307,0.0,1278.00
3.01684,0.0,1296.00
3.02061,0.0,1314.00
3.02438,0.0,1332.00
3.02817,0.0,1350.00
3.03195,0.0,1368.00
3.03574,0.0,1386.00
3.03953,0.0,1404.00
3.04333,0.0,1422.00
3.04714,0.0,1440.00
3.05095,0.0,1458.00
3.05476,0.0,1476.00
3.05858,0.0,1494.00
3.06240,0.0,1512.00
3.06623,0.0,1530.00
3.07006,0.0,1548.00
3.07390,0.0,1566.00
