axis,case,kind,clean,frozen,augmented,oracle,pct_vs_clean,pct_vs_oracle,irreducible
white noise,snr8,stochastic,0.9033289241622575,0.8572530864197531,0.8655202821869489,0.865189594356261,17.942583732057496,104.16666666666761,3.8139329805996547
correlated noise,snr8,stochastic,0.9033289241622575,0.7983906525573192,0.8355379188712522,0.8447971781305115,35.39915966386551,80.0475059382422,5.853174603174605
white noise,snr5,stochastic,0.9033289241622575,0.7745811287477954,0.8113977072310405,0.82418430335097,28.595890410958898,74.22222222222217,7.9144620811287485
correlated noise,snr5,stochastic,0.9033289241622575,0.6902557319223986,0.7562830687830688,0.8108465608465608,30.988101396792555,54.75319926873862,9.24823633156967
white noise,snr5 (aug incl. SNR 5),stochastic,0.9033289241622575,0.7745811287477954,0.8249559082892416,0.82418430335097,39.126712328767105,101.55555555555544,7.9144620811287485
correlated noise,snr5 (aug incl. SNR 5),stochastic,0.9033289241622575,0.6902557319223986,0.7885802469135802,0.8108465608465608,46.14588722193477,81.53564899451551,9.24823633156967
gain ramp,x1.0,deterministic,0.9033289241622575,0.8765432098765432,0.8942901234567902,0.8961640211640212,66.25514403292185,90.44943820224735,0.7164902998236355
gain ramp,x2.0,deterministic,0.9033289241622575,0.82418430335097,0.8903218694885362,0.8975970017636684,83.56545961002789,90.09009009009017,0.5731922398589107
stellar spots,tlse_spots10,deterministic,0.9033289241622575,0.7239858906525574,0.8726851851851852,0.875110229276896,82.91333743085434,98.39533187454414,2.821869488536155
stellar spots,tlse_spots20,deterministic,0.9033289241622575,0.6440696649029982,0.8525132275132276,0.8538359788359788,80.3996598639456,99.36941671045719,4.949294532627868
haze,haze_3p0e7,deterministic,0.9033289241622575,0.6149691358024691,0.8723544973544973,0.8851410934744268,89.2584097859327,95.26723786209709,1.8187830687830697
