Domain shift, configuration ariel, frozen pipeline pca_rf; clean paired baseline 80.70% (Brier 0.1558, n=9072)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                80.70   +0.00  0.1558  0.142  0.509      0      0  1.000
cloud            cloud_1e1Pa              54.13  -26.57  0.2518  0.061  0.751   3020    610  0.042
cloud            cloud_1e2Pa              66.05  -14.65  0.2168  0.048  0.562   1726    397  0.373
cloud            cloud_1e3Pa              73.73   -6.97  0.1882  0.104  0.502    930    298  0.666
cloud            cloud_1e4Pa              78.52   -2.18  0.1676  0.136  0.491    393    195  0.870
cloud            cloud_1e5Pa              80.28   -0.42  0.1576  0.141  0.506    110     72  0.968
exomol           exomol                   78.67   -2.03  0.1733  0.156  0.563    616    432  0.920
exomol           exomol_o3                70.91   -9.79  0.1944  0.092  0.406   1457    569  0.864
exotransmit      exotransmit              77.95   -2.74  0.1659  0.124  0.500    529    280  0.888
haze             haze_1p0e10              68.28  -12.42  0.2167  0.095  0.505   1837    711  0.366
haze             haze_2p0e5               80.38   -0.32  0.1557  0.139  0.515    101     72  0.991
haze             haze_2p0e6               79.55   -1.15  0.1590  0.131  0.525    311    207  0.918
haze             haze_2p4e8               74.63   -6.07  0.1849  0.120  0.411   1015    465  0.604
haze             haze_3p0e7               77.36   -3.34  0.1690  0.109  0.485    666    363  0.764
tlse             tlse_fac05               80.20   -0.50  0.1582  0.139  0.521    162    117  1.020
tlse             tlse_fac10               79.45   -1.25  0.1613  0.139  0.536    288    175  1.038
tlse             tlse_mixed               76.88   -3.81  0.1691  0.111  0.443    747    401  0.951
tlse             tlse_spots02             80.32   -0.37  0.1571  0.137  0.492    215    181  0.983
tlse             tlse_spots05             78.87   -1.83  0.1618  0.124  0.468    466    300  0.958
tlse             tlse_spots10             76.30   -4.40  0.1709  0.108  0.438    820    421  0.943
tlse             tlse_spots20             71.74   -8.96  0.1877  0.076  0.410   1350    537  1.050
white noise      snr12                    79.39   -1.31  0.1625  0.141  0.516    447    328  1.000
white noise      snr10                    78.25   -2.45  0.1697  0.136  0.530    612    390  1.000
white noise      snr8                     76.76   -3.94  0.1774  0.134  0.542    810    453  1.000
white noise      snr5                     72.70   -8.00  0.1961  0.120  0.558   1290    564  1.000
correlated noise snr12                    77.57   -3.13  0.1679  0.123  0.503    674    390  1.000
correlated noise snr10                    76.64   -4.06  0.1771  0.124  0.497    889    521  1.000
correlated noise snr8                     73.34   -7.36  0.1877  0.103  0.497   1248    580  1.000
correlated noise snr5                     68.17  -12.53  0.2093  0.064  0.483   1785    648  1.000
gain ramp        x0.25                    80.63   -0.07  0.1559  0.140  0.511    131    125  1.003
gain ramp        x0.5                     79.98   -0.72  0.1572  0.135  0.507    240    175  1.005
gain ramp        x1.0                     79.60   -1.10  0.1604  0.135  0.508    392    292  1.006
gain ramp        x2.0                     77.93   -2.77  0.1681  0.131  0.503    645    394  1.037
baseline offset  x0.25                    80.70   +0.00  0.1558  0.142  0.509      7      7  1.000
baseline offset  x0.5                     80.70   +0.00  0.1558  0.142  0.510      7      7  1.000
baseline offset  x1.0                     80.63   -0.07  0.1558  0.140  0.510     19     13  1.000
baseline offset  x2.0                     80.57   -0.13  0.1558  0.140  0.510     23     11  1.000
absolute noise   20 ppm                   79.92   -0.78  0.1427  0.095  0.493    733    662  1.000
absolute noise   50 ppm                   77.94   -2.76  0.1520  0.088  0.498    914    664  1.000
absolute noise   100 ppm                  76.77   -3.92  0.1600  0.086  0.510   1033    677  1.000
absolute noise   200 ppm                  74.76   -5.94  0.1701  0.083  0.512   1227    688  1.000
noise colouring  white snr15              80.62   -0.08  0.1537  0.136  0.506    597    590  1.000
noise colouring  ariel snr15              80.58   -0.12  0.1554  0.140  0.509    600    589  1.000
noise colouring  white snr10              78.64   -2.06  0.1682  0.135  0.529    804    617  1.000
noise colouring  ariel snr10              78.25   -2.45  0.1700  0.138  0.529    809    587  1.000
noise colouring  white snr7               75.78   -4.92  0.1834  0.129  0.552   1049    603  1.000
noise colouring  ariel snr7               75.46   -5.24  0.1855  0.129  0.548   1083    608  1.000
noise colouring  white snr5               72.46   -8.23  0.1957  0.118  0.559   1365    618  1.000
noise colouring  ariel snr5               72.33   -8.37  0.1972  0.115  0.555   1380    621  1.000
