Domain shift, configuration ariel, frozen pipeline norm_rf; clean paired baseline 89.08% (Brier 0.0797, n=9072)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                89.08   +0.00  0.0797  0.065  0.483      0      0  1.000
cloud            cloud_1e1Pa              55.84  -33.23  0.3238  0.329  0.069   3442    427  0.042
cloud            cloud_1e2Pa              66.20  -22.87  0.2319  0.230  0.192   2438    363  0.373
cloud            cloud_1e3Pa              77.16  -11.92  0.1545  0.135  0.312   1365    284  0.666
cloud            cloud_1e4Pa              85.47   -3.60  0.0994  0.066  0.417    473    146  0.870
cloud            cloud_1e5Pa              88.64   -0.44  0.0811  0.060  0.470     84     44  0.968
exomol           exomol                   87.71   -1.37  0.0943  0.100  0.526    370    246  0.920
exomol           exomol_o3                74.45  -14.63  0.1671  0.111  0.324   1575    248  0.864
exotransmit      exotransmit              87.96   -1.11  0.0884  0.067  0.487    239    138  0.888
haze             haze_1p0e10              49.92  -39.16  0.3474  0.311  0.000   3966    414  0.366
haze             haze_2p0e5               89.18   +0.10  0.0797  0.066  0.475     62     71  0.991
haze             haze_2p0e6               86.80   -2.27  0.0955  0.098  0.413    511    305  0.918
haze             haze_2p4e8               54.86  -34.22  0.3221  0.349  0.049   3518    414  0.604
haze             haze_3p0e7               69.23  -19.84  0.1998  0.242  0.196   2213    413  0.764
tlse             tlse_fac05               88.49   -0.58  0.0868  0.073  0.519    199    146  1.020
tlse             tlse_fac10               86.88   -2.19  0.0949  0.080  0.542    385    186  1.038
tlse             tlse_mixed               76.98  -12.09  0.1563  0.141  0.299   1395    298  0.951
tlse             tlse_spots02             86.21   -2.87  0.0975  0.054  0.424    405    145  0.983
tlse             tlse_spots05             81.59   -7.48  0.1260  0.099  0.357    918    239  0.958
tlse             tlse_spots10             75.54  -13.54  0.1663  0.155  0.280   1539    311  0.943
tlse             tlse_spots20             67.16  -21.91  0.2231  0.224  0.186   2346    358  1.050
white noise      snr12                    87.24   -1.84  0.1020  0.109  0.461    407    240  1.101
white noise      snr10                    84.53   -4.54  0.1251  0.138  0.436    705    293  1.165
white noise      snr8                     80.10   -8.97  0.1542  0.163  0.381   1138    324  1.268
white noise      snr5                     64.77  -24.31  0.2060  0.173  0.194   2598    393  1.648
correlated noise snr12                    83.53   -5.54  0.1141  0.056  0.460    834    331  1.103
correlated noise snr10                    79.28   -9.80  0.1432  0.054  0.429   1267    378  1.157
correlated noise snr8                     72.67  -16.40  0.1766  0.069  0.377   1881    393  1.254
correlated noise snr5                     61.40  -27.68  0.2317  0.129  0.240   2922    411  1.619
gain ramp        x0.25                    88.99   -0.09  0.0810  0.062  0.482    177    169  1.044
gain ramp        x0.5                     87.46   -1.62  0.0864  0.050  0.486    415    268  1.048
gain ramp        x1.0                     83.99   -5.08  0.1056  0.037  0.484    857    396  1.072
gain ramp        x2.0                     74.59  -14.48  0.1594  0.056  0.482   1854    540  1.132
baseline offset  x0.25                    89.08   +0.00  0.0797  0.065  0.483      0      0  1.049
baseline offset  x0.5                     89.08   +0.00  0.0797  0.065  0.483      0      0  1.049
baseline offset  x1.0                     89.08   +0.00  0.0797  0.065  0.483      0      0  1.049
baseline offset  x2.0                     89.08   +0.00  0.0797  0.065  0.483      0      0  1.049
absolute noise   20 ppm                   85.21   -3.87  0.0973  0.035  0.449    715    364  1.001
absolute noise   50 ppm                   82.54   -6.54  0.1131  0.048  0.416    949    356  1.001
absolute noise   100 ppm                  79.95   -9.13  0.1277  0.060  0.385   1180    352  1.010
absolute noise   200 ppm                  76.71  -12.37  0.1468  0.084  0.344   1473    351  1.053
noise colouring  white snr15              88.29   -0.78  0.0845  0.068  0.490    416    345  1.043
noise colouring  ariel snr15              88.91   -0.17  0.0800  0.061  0.487    361    346  1.054
noise colouring  white snr10              87.31   -1.76  0.1034  0.114  0.468    529    369  1.098
noise colouring  ariel snr10              87.68   -1.40  0.0959  0.097  0.465    484    357  1.106
noise colouring  white snr7               83.30   -5.78  0.1338  0.148  0.421    920    396  1.196
noise colouring  ariel snr7               84.24   -4.84  0.1223  0.136  0.413    825    386  1.200
noise colouring  white snr5               76.68  -12.40  0.1688  0.172  0.339   1496    371  1.352
noise colouring  ariel snr5               77.55  -11.53  0.1586  0.157  0.324   1422    376  1.372
