axis,case,frozen,augmented,pct_of_gap
stellar spots,tlse_spots02,0.8617724867724867,0.8873456790123457,61.58132344634585
stellar spots,tlse_spots05,0.7971781305114638,0.880842151675485,78.83768121240925
stellar spots,tlse_spots10,0.7239858906525574,0.8726851851851852,82.92671172043976
stellar spots,tlse_spots20,0.6440696649029982,0.8525132275132276,80.40863062273617
stellar spots,clean,0.9033289241622576,0.8894400352733686,
haze,haze_2p0e5,0.8979276895943563,0.8901014109347443,-145.67808016808655
haze,haze_2p0e6,0.8257275132275133,0.8874559082892416,79.57511436080718
haze,haze_3p0e7,0.6149691358024691,0.8723544973544973,89.26736382120285
haze,haze_2p4e8,0.5254629629629629,0.839836860670194,83.20356844117825
haze,clean,0.9033289241622576,0.8901014109347443,
correlated noise,snr12,0.8654100529100529,0.8763227513227513,29.0
correlated noise,snr10,0.839836860670194,0.8597883597883598,31.0
correlated noise,snr8,0.7983906525573192,0.8355379188712522,35.0
correlated noise,snr5,0.6902557319223986,0.7562830687830688,31.0
correlated noise,clean,0.9033289241622576,0.8963844797178131,
