axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,control_accuracy,control_brier,d_acc,d_brier
clean,reference,9072,0.9033289241622575,0.9080587711487088,0.8978648470173894,0.9029330381848367,0.06856526371347982,0.03734109164859039,0.9750789382990155,0.49514991181657847,0,0,1.0,,,0.0,0.0
cloud,cloud_1e1Pa,9072,0.5080467372134039,0.9081632653061225,0.019590578912612813,0.038353803059685415,0.4785266459783015,0.48107710548613053,0.6198289867431482,0.010802469135802469,3991,405,0.0417714951777962,,,-39.52821869488537,0.4099613822648217
cloud,cloud_1e2Pa,9072,0.6457231040564374,0.9256886611146701,0.3180717587497249,0.4734600262123198,0.3071574434292198,0.3113483325019486,0.8214230915429594,0.1720679012345679,2660,323,0.3731900466905369,,,-25.760582010582013,0.23859217971573998
cloud,cloud_1e3Pa,9072,0.7873677248677249,0.9345079787234043,0.6187541272287035,0.7445371473976957,0.17246855119947893,0.1585374589471274,0.9102132042448872,0.3315696649029982,1293,241,0.6659141442509887,,,-11.596119929453263,0.10390328748599911
cloud,cloud_1e4Pa,9072,0.8708112874779541,0.9200099676052829,0.8126788465771516,0.8630201028517999,0.09500133139663744,0.06586864499794495,0.9585749808981636,0.44235008818342153,400,105,0.8696280192265576,,,-3.251763668430341,0.02643606768315762
cloud,cloud_1e5Pa,9072,0.9004629629629629,0.9108352144469526,0.8881796169931763,0.8993647609495152,0.07072272319315061,0.038537738023003795,0.9736753585509812,0.48831569664902996,54,28,0.9683066185082301,,,-0.2865961199294609,0.0021574594796707897
exomol,exomol,9072,0.8860229276895943,0.8575504381495822,0.9262601804974686,0.8905820105820106,0.0809700118552589,0.049420061486998554,0.9675408513929383,0.5408950617283951,376,219,0.9196178533883226,,,-1.7305996472663177,0.012404748141779082
exomol,exomol_o3,9072,0.7482363315696648,0.8687561214495593,0.5857362976007043,0.6997107546673679,0.20747404184053947,0.1771190793792403,0.8553268400617499,0.3376322751322751,1646,239,0.8640203167025811,,,-15.509259259259267,0.13890877812705965
exotransmit,exotransmit,9072,0.8792989417989417,0.8919963619827194,0.8635263042042703,0.8775304775752153,0.08744048443387407,0.053619981286902776,0.9588500687257849,0.48478835978835977,352,134,0.8883672758796954,,,-2.402998236331577,0.018875220720394256
haze,haze_1p0e10,9071,0.49928343071326203,1.0,0.00022011886418666079,0.00044014084507042255,0.4989455036870768,0.4994654595256982,0.6883281194459849,0.00011024142872891633,4078,413,0.3661573572981155,,,-40.40454934489955,0.430380239973597
haze,haze_2p0e5,9072,0.8979276895943563,0.9218567763004432,0.8699097512656835,0.8951302378255945,0.07243261052168258,0.03886860779820135,0.9728981382337719,0.47255291005291006,138,89,0.9909490170977316,,,-0.5401234567901203,0.0038673468082027623
haze,haze_2p0e6,9071,0.8257083011795833,0.9570987654320988,0.6825885978428351,0.7968649620968778,0.13990445142268412,0.1384785406911763,0.9461526936559876,0.3571822290816889,997,293,0.9183993282187981,,,-7.762062298267425,0.0713391877092043
haze,haze_2p4e8,9071,0.5254106493220152,1.0,0.05238828967642527,0.09956076134699854,0.4566679566841072,0.4692015978695153,0.8060582661633748,0.026237460037482084,3841,413,0.6037431831029919,,,-37.79182748402423,0.3881026929706274
haze,haze_3p0e7,9071,0.6149266894498953,0.9943502824858758,0.2324455205811138,0.3768064228367529,0.35162045124047503,0.37863246080937946,0.8882937842088439,0.11707639731010915,3023,407,0.7642486450380084,,,-28.840223471236225,0.2830551875269952
tlse,tlse_fac05,9072,0.8820546737213404,0.8497482376636455,0.9286814880035219,0.8874631888935633,0.08892361623278787,0.06085231243667605,0.9638273358273658,0.5472883597883598,343,150,1.020078390258049,,,-2.127425044091713,0.02035835251930805
tlse,tlse_fac10,9072,0.8540564373897708,0.8041958041958042,0.9366057671142417,0.8653650599959325,0.11277457816913314,0.08644441028218273,0.9525501200544518,0.5832231040564374,636,189,1.0379182808394292,,,-4.9272486772486745,0.04420931445565332
tlse,tlse_mixed,9072,0.7443783068783069,0.9487489911218725,0.5174994497028396,0.6697051702036747,0.22541621899621095,0.22171505636089983,0.8702012422985737,0.27314814814814814,1738,296,0.951012850375745,,,-15.895061728395065,0.15685095528273113
tlse,tlse_spots02,9072,0.8617724867724867,0.9321944809461236,0.7807616112700858,0.849784379492094,0.1080014335998382,0.08415879620023518,0.9446312357756871,0.41942239858906527,546,169,0.9826377855136786,,,-4.155643738977077,0.03943616988635838
tlse,tlse_spots05,9072,0.7971781305114638,0.9453047775947282,0.6315210213515299,0.757191871206123,0.17091232390788968,0.15972316693430402,0.9048534386974796,0.33454585537918874,1223,260,0.9577643942542688,,,-10.61507936507937,0.10234706019440987
tlse,tlse_spots10,9072,0.7239858906525574,0.9509066784608581,0.4732555580013207,0.631981187536743,0.2445392629295645,0.24282301886455132,0.8593083475498496,0.2492283950617284,1934,307,0.9429270243412421,,,-17.934303350970016,0.17597399921608467
tlse,tlse_spots20,9072,0.6440696649029982,0.9575208913649025,0.3026634382566586,0.45994313430339523,0.33030884467561555,0.3371268919785422,0.8175460542466392,0.15828924162257496,2711,359,1.0500631645728127,,,-25.92592592592593,0.26174358096213574
white noise,snr12,9072,0.8901014109347443,0.898964896489649,0.8793748624257098,0.8890619784132636,0.0790615048406617,0.04466030515346347,0.9672447188604831,0.4898589065255732,344,224,1.0,,,-1.3227513227513255,0.01049624112718188
white noise,snr10,9072,0.873126102292769,0.8859808830223032,0.8569227382786705,0.8712095781582186,0.08928048533194399,0.049508921140785124,0.9581853865472428,0.484347442680776,538,264,1.0,,,-3.0202821869488528,0.020715221618464175
white noise,snr8,9072,0.8508597883597884,0.8801239275500476,0.8128989654413383,0.8451767936834879,0.10541431996405594,0.06163903166937077,0.9434738985150457,0.4625220458553792,766,290,1.0,,,-5.246913580246915,0.03684905625057612
white noise,snr5,9072,0.7678571428571429,0.8686838124054463,0.6319612590799032,0.731651376146789,0.1709396965502607,0.13536432901238177,0.8846149453272664,0.36430776014109345,1599,370,1.0,,,-13.547178130511462,0.10237443283678088
correlated noise,snr12,9072,0.8675044091710759,0.8797453966810639,0.8518600044023773,0.8655781704316707,0.09911031784027031,0.06849219052807151,0.9535248835651889,0.48489858906525574,614,289,1.0,,,-3.5824514991181666,0.030545054126790497
correlated noise,snr10,9072,0.8397266313932981,0.8617943312251113,0.8098173013427251,0.8349977303676804,0.1250791685419594,0.09226199388124223,0.9318255571852916,0.4705687830687831,934,357,1.0,,,-6.360229276895946,0.056513904828479594
correlated noise,snr8,9072,0.7964065255731922,0.8292623351245726,0.7473035439137135,0.7861525992821582,0.1634642672980876,0.13193352842342282,0.8922437480337417,0.4512786596119929,1323,353,1.0,,,-10.692239858906527,0.09489900358460779
