Domain shift, configuration ariel, frozen pipeline norm_mlp; clean paired baseline 90.09% (Brier 0.0674, n=9072)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                90.09   +0.00  0.0674  0.012  0.470      0      0  1.000
cloud            cloud_1e1Pa              54.63  -35.46  0.4219  0.434  0.051   3533    316  0.042
cloud            cloud_1e2Pa              65.70  -24.39  0.2976  0.310  0.172   2504    291  0.373
cloud            cloud_1e3Pa              76.76  -13.33  0.1848  0.185  0.292   1437    228  0.666
cloud            cloud_1e4Pa              85.97   -4.12  0.1006  0.075  0.403    492    118  0.870
cloud            cloud_1e5Pa              89.66   -0.43  0.0705  0.020  0.460     67     28  0.968
exomol           exomol                   88.26   -1.83  0.0791  0.021  0.494    393    227  0.920
exomol           exomol_o3                73.03  -17.06  0.2187  0.179  0.296   1766    218  0.864
exotransmit      exotransmit              88.94   -1.15  0.0754  0.010  0.481    229    125  0.888
haze             haze_1p0e10              49.92  -40.17  0.5008  0.501  0.000   3954    310  0.366
haze             haze_2p0e5               89.57   -0.52  0.0702  0.025  0.456     99     52  0.991
haze             haze_2p0e6               82.15   -7.94  0.1387  0.136  0.348    974    254  0.918
haze             haze_2p4e8               50.18  -39.91  0.4973  0.498  0.003   3930    310  0.604
haze             haze_3p0e7               55.25  -34.84  0.4349  0.442  0.055   3466    306  0.764
tlse             tlse_fac05               88.53   -1.57  0.0799  0.033  0.513    272    130  1.020
tlse             tlse_fac10               86.18   -3.91  0.0952  0.059  0.545    525    170  1.038
tlse             tlse_mixed               72.83  -17.26  0.2411  0.236  0.248   1795    229  0.951
tlse             tlse_spots02             85.41   -4.68  0.1073  0.078  0.398    540    115  0.983
tlse             tlse_spots05             78.43  -11.66  0.1768  0.164  0.314   1242    184  0.958
tlse             tlse_spots10             70.46  -19.63  0.2639  0.260  0.223   2015    234  0.943
tlse             tlse_spots20             61.57  -28.52  0.3661  0.366  0.126   2861    274  1.050
white noise      snr12                    86.97   -3.12  0.0893  0.046  0.431    492    209  1.101
white noise      snr10                    82.79   -7.30  0.1214  0.090  0.384    900    238  1.165
white noise      snr8                     76.48  -13.61  0.1746  0.162  0.312   1511    276  1.268
white noise      snr5                     59.99  -30.10  0.3312  0.343  0.122   3046    315  1.648
correlated noise snr12                    81.78   -8.31  0.1341  0.091  0.427   1039    285  1.103
correlated noise snr10                    76.31  -13.78  0.1873  0.153  0.378   1574    324  1.157
correlated noise snr8                     69.38  -20.71  0.2536  0.227  0.316   2206    327  1.254
correlated noise snr5                     59.23  -30.86  0.3598  0.337  0.192   3153    353  1.619
gain ramp        x0.25                    89.64   -0.45  0.0691  0.014  0.470    162    121  1.044
gain ramp        x0.5                     88.71   -1.38  0.0744  0.019  0.472    341    216  1.048
gain ramp        x1.0                     86.01   -4.08  0.0953  0.045  0.468    692    322  1.072
gain ramp        x2.0                     79.05  -11.04  0.1606  0.119  0.442   1413    411  1.132
baseline offset  x0.25                    90.09   +0.00  0.0674  0.012  0.470      0      0  1.049
baseline offset  x0.5                     90.09   +0.00  0.0674  0.012  0.470      0      0  1.049
baseline offset  x1.0                     90.09   +0.00  0.0674  0.012  0.470      0      0  1.049
baseline offset  x2.0                     90.09   +0.00  0.0674  0.012  0.470      0      0  1.049
absolute noise   20 ppm                   86.30   -3.79  0.1123  0.067  0.442    770    426  1.001
absolute noise   50 ppm                   83.13   -6.96  0.1418  0.094  0.404   1039    408  1.001
absolute noise   100 ppm                  80.60   -9.49  0.1682  0.121  0.373   1269    408  1.010
absolute noise   200 ppm                  76.80  -13.29  0.2035  0.159  0.327   1571    365  1.053
noise colouring  white snr15              89.45   -0.64  0.0710  0.013  0.471    442    384  1.043
noise colouring  ariel snr15              89.73   -0.36  0.0676  0.009  0.469    408    375  1.054
noise colouring  white snr10              86.85   -3.24  0.0895  0.045  0.432    654    360  1.098
noise colouring  ariel snr10              87.38   -2.71  0.0842  0.044  0.435    607    361  1.106
noise colouring  white snr7               81.17   -8.92  0.1379  0.115  0.363   1162    353  1.196
noise colouring  ariel snr7               81.98   -8.11  0.1273  0.115  0.360   1083    347  1.200
noise colouring  white snr5               72.29  -17.80  0.2131  0.216  0.260   1944    329  1.352
noise colouring  ariel snr5               72.82  -17.27  0.2074  0.224  0.250   1894    327  1.372
