Domain shift, configuration ariel, frozen pipeline raw_rf; clean paired baseline 72.24% (Brier 0.1866, n=9072)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                72.24   +0.00  0.1866  0.056  0.537      0      0  1.000
cloud            cloud_1e1Pa              53.02  -19.22  0.2626  0.097  0.260   2859   1115  0.042
cloud            cloud_1e2Pa              62.49   -9.76  0.2306  0.045  0.389   1661    776  0.373
cloud            cloud_1e3Pa              68.52   -3.73  0.2072  0.032  0.462    835    497  0.666
cloud            cloud_1e4Pa              70.92   -1.32  0.1933  0.047  0.514    339    219  0.870
cloud            cloud_1e5Pa              72.03   -0.21  0.1878  0.055  0.533     69     50  0.968
exomol           exomol                   71.01   -1.23  0.1939  0.077  0.586    441    329  0.920
exomol           exomol_o3                68.73   -3.52  0.2044  0.038  0.492    665    346  0.864
exotransmit      exotransmit              70.13   -2.12  0.1961  0.044  0.532    614    422  0.888
haze             haze_1p0e10              52.67  -19.57  0.2631  0.130  0.104   3010   1235  0.366
haze             haze_2p0e5               72.32   +0.08  0.1861  0.053  0.527     40     47  0.991
haze             haze_2p0e6               71.51   -0.73  0.1901  0.052  0.465    368    302  0.918
haze             haze_2p4e8               56.61  -15.64  0.2463  0.154  0.160   2436   1018  0.604
haze             haze_3p0e7               63.33   -8.91  0.2215  0.118  0.272   1609    801  0.764
tlse             tlse_fac05               71.85   -0.40  0.1873  0.055  0.556    239    203  1.020
tlse             tlse_fac10               71.51   -0.74  0.1888  0.059  0.573    398    331  1.038
tlse             tlse_mixed               70.46   -1.79  0.1939  0.059  0.396   1122    960  0.951
tlse             tlse_spots02             72.63   +0.39  0.1866  0.053  0.506    362    397  0.983
tlse             tlse_spots05             71.67   -0.57  0.1887  0.047  0.456    792    740  0.958
tlse             tlse_spots10             69.73   -2.51  0.1966  0.066  0.379   1219    991  0.943
tlse             tlse_spots20             64.77   -7.47  0.2176  0.116  0.260   1856   1178  1.050
white noise      snr12                    72.10   -0.14  0.1880  0.061  0.529    224    211  1.000
white noise      snr10                    72.05   -0.20  0.1902  0.065  0.525    265    247  1.000
white noise      snr8                     71.90   -0.34  0.1934  0.071  0.508    371    340  1.000
white noise      snr5                     70.72   -1.52  0.2040  0.095  0.454    713    575  1.000
correlated noise snr12                    71.54   -0.71  0.1891  0.056  0.530    346    282  1.000
correlated noise snr10                    71.62   -0.63  0.1923  0.057  0.519    459    402  1.000
correlated noise snr8                     70.22   -2.03  0.1973  0.049  0.511    675    491  1.000
correlated noise snr5                     66.93   -5.31  0.2116  0.046  0.456   1193    711  1.000
gain ramp        x0.25                    72.24   +0.00  0.1866  0.054  0.534     96     96  1.003
gain ramp        x0.5                     71.88   -0.36  0.1875  0.054  0.534    187    154  1.005
gain ramp        x1.0                     71.14   -1.10  0.1892  0.047  0.531    376    276  1.006
gain ramp        x2.0                     70.13   -2.12  0.1940  0.037  0.521    707    515  1.037
baseline offset  x0.25                    72.32   +0.08  0.1864  0.058  0.534     89     96  1.000
baseline offset  x0.5                     72.29   +0.04  0.1862  0.056  0.536    174    178  1.000
baseline offset  x1.0                     71.94   -0.31  0.1874  0.054  0.535    305    277  1.000
baseline offset  x2.0                     71.64   -0.61  0.1873  0.054  0.537    478    423  1.000
absolute noise   20 ppm                   72.24   +0.00  0.1817  0.060  0.539    397    397  1.000
absolute noise   50 ppm                   71.81   -0.43  0.1835  0.057  0.518    533    494  1.000
absolute noise   100 ppm                  71.04   -1.20  0.1873  0.056  0.481    711    602  1.000
absolute noise   200 ppm                  69.35   -2.90  0.1927  0.064  0.430    981    718  1.000
noise colouring  white snr15              71.96   -0.29  0.1865  0.053  0.537    296    270  1.000
noise colouring  ariel snr15              71.88   -0.36  0.1866  0.052  0.536    282    249  1.000
noise colouring  white snr10              72.11   -0.13  0.1902  0.063  0.527    369    357  1.000
noise colouring  ariel snr10              71.99   -0.25  0.1901  0.063  0.526    361    338  1.000
noise colouring  white snr7               71.40   -0.85  0.1961  0.074  0.496    527    450  1.000
noise colouring  ariel snr7               71.76   -0.49  0.1953  0.077  0.497    473    429  1.000
noise colouring  white snr5               70.62   -1.62  0.2047  0.092  0.459    736    589  1.000
noise colouring  ariel snr5               71.16   -1.08  0.2036  0.094  0.453    677    579  1.000
