axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,d_acc,d_brier
clean,reference,9072,0.7224426807760141,0.7079482439926063,0.7587497248514198,0.7324691882702933,0.18656410537918872,0.05555401234567901,0.7990429470907445,0.5367063492063492,0,0,1.0,0.0,0.0
cloud,cloud_1e1Pa,9072,0.5302028218694885,0.5596096733135342,0.2903367818622056,0.38231884057971016,0.2626389488536155,0.09683112874779543,0.5512129453415553,0.259810405643739,2859,1115,0.0417714951777962,-19.22398589065256,0.07607484347442678
cloud,cloud_1e2Pa,9072,0.624889770723104,0.6616562677254679,0.5135373101474796,0.5782624860577519,0.23061631481481484,0.04525837742504409,0.672899358146223,0.388668430335097,1661,776,0.3731900466905369,-9.755291005291012,0.04405220943562613
cloud,cloud_1e3Pa,9072,0.6851851851851852,0.701072705601907,0.6473695795729694,0.6731517509727627,0.20719916578483244,0.03240432098765433,0.7423595206414777,0.46241181657848324,835,497,0.6659141442509887,-3.7257495590828915,0.020635060405643724
cloud,cloud_1e4Pa,9072,0.7092151675485009,0.7044430135222151,0.7224301122606207,0.7133231906107368,0.19327687125220458,0.04727910052910054,0.7814842514405781,0.513558201058201,339,219,0.8696280192265576,-1.3227513227513255,0.0067127658730158635
cloud,cloud_1e5Pa,9072,0.7203483245149912,0.7075745033112583,0.7525863966541932,0.7293866666666666,0.1877787438271605,0.054622795414462064,0.7960714882304937,0.5326278659611993,69,50,0.9683066185082301,-0.2094356261022945,0.0012146384479717887
exomol,exomol,9072,0.7100970017636684,0.6799623706491063,0.7955095751705921,0.7332116047879894,0.1939323064373898,0.07734457671957673,0.7891538556013447,0.5858686067019401,441,329,0.9196178533883226,-1.2345679012345734,0.007368201058201074
exomol,exomol_o3,9072,0.6872795414462081,0.6911698789780367,0.6788465771516619,0.684952803997779,0.2044094889770723,0.03797949735449735,0.7516055335812007,0.49184303350970016,665,346,0.8640203167025811,-3.516313932980608,0.017845383597883596
exotransmit,exotransmit,9072,0.701278659611993,0.689869484151647,0.7329958177415804,0.7107790821771611,0.1961051340388007,0.04375088183421517,0.7745068868432052,0.5320767195767195,614,422,0.8883672758796954,-2.1164021164021163,0.009541028659611983
haze,haze_1p0e10,9071,0.5267335464667622,0.6321353065539113,0.13163108078362315,0.21789032610675899,0.2631303922390034,0.13005644361150923,0.5957910823081213,0.10428839157755485,3010,1235,0.3661573572981155,-19.570913430925195,0.0765662868598147
