axis,case,frozen,augmented,pct_of_gap,cost
gain ramp,x0.5,0.896494708994709,0.8983686067019401,27.535893847510508,0.6805291005291036
gain ramp,x1.0,0.8765432098765432,0.8942901234567902,66.32676602223978,2.6756790123456775
gain ramp,x2.0,0.82418430335097,0.8903218694885362,83.59601057545271,7.911569664902995
gain ramp,clean,0.9033289241622575,0.8992504409171076,,0.0
