mean_pred,observed,n,lo,hi,model
0.021312789991497993,0.034140969162995596,908,0.02415467721056141,0.04805260089563598,raw_xgb
0.10071408748626709,0.1751101321585903,908,0.1517720412941185,0.2011857531298253,raw_xgb
0.20851890742778778,0.28996692392502754,907,0.2613716250223572,0.3203339097270437,raw_xgb
0.33322378993034363,0.3880926130099228,907,0.35691315804536616,0.4202160376347608,raw_xgb
0.47180768847465515,0.4531422271223815,907,0.4210104878952513,0.4856692245816491,raw_xgb
0.6067485213279724,0.5336273428886439,907,0.5010870538853591,0.5658839759841594,raw_xgb
0.7316158413887024,0.6240352811466373,907,0.5920511245472914,0.654973165955031,raw_xgb
0.8394168615341187,0.6957001102535832,907,0.6649822208438227,0.7247672152820634,raw_xgb
0.926906943321228,0.8500551267916208,907,0.8253458599924978,0.8718115820918338,raw_xgb
0.9806138873100281,0.9647188533627343,907,0.9506182108184141,0.9748994642636198,raw_xgb
0.14619383259911892,0.06828193832599119,908,0.053628432518812705,0.0865731112580889,raw_rf
0.2841674008810573,0.1960352422907489,908,0.17151597411064062,0.22311572507921867,raw_rf
0.37276515986769565,0.2921719955898567,907,0.2635018376281245,0.3225952400635399,raw_rf
0.4338434399117972,0.3737596471885336,907,0.3428679201404061,0.40571624641500803,raw_rf
0.4887651598676957,0.4652701212789416,907,0.43302302355731603,0.4978101751020336,raw_rf
0.5398875413450938,0.535832414553473,907,0.5032927542730572,0.5680698185387247,raw_rf
0.5950099228224917,0.5898566703417861,907,0.5575324382310235,0.6214229366662144,raw_rf
0.6627078280044102,0.6945975744211687,907,0.663854120930433,0.7236995437243214,raw_rf
0.7505689084895258,0.836824696802646,907,0.8113638578478214,0.8594443265829291,raw_rf
0.865636163175303,0.9558985667034179,907,0.9405036302863425,0.9674478730266374,raw_rf
0.00011039940727641806,0.003303964757709251,908,0.0011242483030280285,0.009668854358662334,pca_xgb
0.0016914211446419358,0.014317180616740088,908,0.008385790168465343,0.02434094658054896,pca_xgb
0.0236649326980114,0.10804851157662625,907,0.08947284126743876,0.1299304007452229,pca_xgb
0.14522702991962433,0.3219404630650496,907,0.2923393137224034,0.3530435936898183,pca_xgb
0.3929753303527832,0.46085997794928335,907,0.4286526060998632,0.4933975066749594,pca_xgb
0.6740861535072327,0.535832414553473,907,0.5032927542730572,0.5680698185387247,pca_xgb
0.886328399181366,0.6714443219404631,907,0.6402095515819757,0.701232912179012,pca_xgb
0.9811641573905945,0.8974641675854466,907,0.8760159426803651,0.915559672662632,pca_xgb
0.9986463785171509,0.9955898566703418,907,0.9887155634574681,0.998283712816255,pca_xgb
0.9999150633811951,1.0,907,0.9957823621582501,0.9999999999999999,pca_xgb
0.03781294855857393,0.005506607929515419,908,0.0023542844139176344,0.012825545065237517,pca_rf
0.1250323359724782,0.024229074889867842,908,0.016054020038168436,0.03641298738943741,pca_rf
0.2541392857046527,0.1543550165380375,907,0.1323042799067909,0.17932136389340442,pca_rf
0.3847400668119754,0.3539140022050717,907,0.3234692325132163,0.38559104756182633,pca_rf
0.4723348266740221,0.4597574421168688,907,0.4275603982174517,0.49229394308623925,pca_rf
0.5455389536184739,0.5347298787210585,907,0.5021898248979664,0.566976976442684,pca_rf
0.6358421432035355,0.6350606394707828,907,0.6032212340198717,0.6657607711937681,pca_rf
0.7613941541874546,0.86438809261301,907,0.8405631447046663,0.8851393265043782,pca_rf
0.8763962713682609,0.9768467475192943,907,0.9648638273322723,0.984807333932211,pca_rf
0.9604956188941082,1.0,907,0.9957823621582501,0.9999999999999999,pca_rf
3.786353045143187e-05,0.0,908,0.0,0.004213012435493182,norm_xgb
0.0003646214900072664,0.0,908,0.0,0.004213012435493182,norm_xgb
0.006233163643628359,0.018743109151047408,907,0.011734628366365078,0.029811124484624595,norm_xgb
0.09280254691839218,0.22160970231532526,907,0.19578540234613745,0.24978230119309486,norm_xgb
0.3304826021194458,0.4178610804851158,907,0.38617512428059786,0.4502399011200865,norm_xgb
0.6232045888900757,0.5369349503858876,907,0.5043958420846258,0.5691625021982879,norm_xgb
0.9126034379005432,0.8158765159867696,907,0.7893379743093291,0.8397505521699183,norm_xgb
0.9968476891517639,0.9977949283351709,907,0.9919957251634057,0.9993950940525809,norm_xgb
0.9998877644538879,1.0,907,0.9957823621582501,0.9999999999999999,norm_xgb
0.9999885559082031,1.0,907,0.9957823621582501,0.9999999999999999,norm_xgb
0.0068906809338182455,0.0,908,0.0,0.004213012435493182,norm_rf
0.052410348927004705,0.005506607929515419,908,0.0023542844139176344,0.012825545065237517,norm_rf
0.1619397330909753,0.04630650496141125,907,0.03443880949186533,0.06200123013741818,norm_rf
0.34758981148369955,0.23373759647188533,907,0.20735317157879588,0.2623680181428857,norm_rf
0.45109220302195757,0.4145534729878721,907,0.38291782601382074,0.4469098849734683,norm_rf
0.512894492312684,0.5435501653803748,907,0.5110177005634114,0.5757152725462927,norm_rf
0.632927456130088,0.7905181918412348,907,0.762836536123341,0.815749246519876,norm_rf
0.862242387515122,0.9757442116868799,907,0.9635471688320054,0.9839282209613462,norm_rf
0.9857298715664581,0.9988974641675854,907,0.9937812368464045,0.9998053538407137,norm_rf
0.9998731582087816,1.0,907,0.9957823621582501,0.9999999999999999,norm_rf
0.00010978438513120636,0.0,908,0.0,0.004213012435493182,norm_mlp
0.0025870492681860924,0.0022026431718061676,908,0.0006042395219930637,0.007995499730964906,norm_mlp
0.02682994119822979,0.03197353914002205,907,0.022352781052473368,0.04554222945209734,norm_mlp
