Domain shift, configuration ariel, frozen pipeline pca_xgb; clean paired baseline 83.91% (Brier 0.1188, n=9072)

axis             case                       acc   d_acc   brier    ece    pos  flip-  flip+    amp
clean            reference                83.91   +0.00  0.1188  0.064  0.505      0      0  1.000
cloud            cloud_1e1Pa              59.29  -24.61  0.3050  0.240  0.266   2908    675  0.042
cloud            cloud_1e2Pa              68.64  -15.27  0.2409  0.197  0.326   1942    557  0.373
cloud            cloud_1e3Pa              76.01   -7.89  0.1798  0.137  0.380   1156    440  0.666
cloud            cloud_1e4Pa              82.19   -1.72  0.1321  0.083  0.442    477    321  0.870
cloud            cloud_1e5Pa              84.09   +0.19  0.1168  0.060  0.491     97    114  0.968
exomol           exomol                   80.45   -3.46  0.1397  0.078  0.577    772    458  0.920
exomol           exomol_o3                70.03  -13.88  0.2302  0.182  0.395   1746    487  0.864
exotransmit      exotransmit              81.15   -2.76  0.1363  0.087  0.505    525    275  0.888
haze             haze_1p0e10              66.65  -17.25  0.2482  0.205  0.287   2230    665  0.366
haze             haze_2p0e5               83.42   -0.49  0.1195  0.068  0.507    135     91  0.991
haze             haze_2p0e6               82.33   -1.58  0.1313  0.085  0.499    471    328  0.918
haze             haze_2p4e8               69.57  -14.33  0.2552  0.254  0.240   1931    631  0.604
haze             haze_3p0e7               77.80   -6.11  0.1767  0.138  0.379   1084    530  0.764
tlse             tlse_fac05               82.73   -1.18  0.1260  0.070  0.526    238    131  1.020
tlse             tlse_fac10               81.72   -2.18  0.1327  0.079  0.539    381    183  1.038
tlse             tlse_mixed               78.30   -5.61  0.1693  0.127  0.404    939    430  0.951
tlse             tlse_spots02             82.56   -1.34  0.1271  0.075  0.473    320    198  0.983
tlse             tlse_spots05             80.64   -3.26  0.1457  0.102  0.439    625    329  0.958
tlse             tlse_spots10             77.39   -6.51  0.1765  0.134  0.392   1036    445  0.943
tlse             tlse_spots20             72.00  -11.90  0.2246  0.193  0.340   1603    523  1.050
white noise      snr12                    81.04   -2.87  0.1373  0.080  0.538    689    429  1.101
white noise      snr10                    77.57   -6.34  0.1622  0.108  0.564   1094    519  1.165
white noise      snr8                     75.83   -8.08  0.1779  0.119  0.580   1278    545  1.268
white noise      snr5                     69.39  -14.52  0.2274  0.169  0.612   1952    635  1.648
correlated noise snr12                    78.01   -5.90  0.1651  0.110  0.500   1068    533  1.103
correlated noise snr10                    73.88  -10.03  0.1983  0.145  0.494   1498    588  1.157
correlated noise snr8                     69.29  -14.62  0.2357  0.186  0.493   1980    654  1.254
correlated noise snr5                     63.01  -20.90  0.2927  0.241  0.485   2569    673  1.619
gain ramp        x0.25                    83.48   -0.43  0.1204  0.067  0.506    221    182  1.044
gain ramp        x0.5                     82.73   -1.18  0.1267  0.076  0.506    365    258  1.048
gain ramp        x1.0                     81.06   -2.84  0.1385  0.088  0.505    653    395  1.072
gain ramp        x2.0                     78.33   -5.58  0.1634  0.106  0.516   1047    541  1.132
baseline offset  x0.25                    83.94   +0.03  0.1187  0.064  0.505      6      9  1.049
baseline offset  x0.5                     83.97   +0.07  0.1186  0.064  0.505     10     16  1.049
baseline offset  x1.0                     83.91   +0.00  0.1189  0.064  0.505     25     25  1.049
baseline offset  x2.0                     83.86   -0.04  0.1188  0.064  0.506     34     30  1.049
absolute noise   20 ppm                   82.23   -1.68  0.1350  0.092  0.479    870    718  1.001
absolute noise   50 ppm                   79.94   -3.97  0.1518  0.115  0.498   1078    718  1.001
absolute noise   100 ppm                  78.67   -5.24  0.1635  0.122  0.525   1212    737  1.010
absolute noise   200 ppm                  76.60   -7.31  0.1782  0.130  0.542   1401    738  1.053
noise colouring  white snr15              83.33   -0.57  0.1195  0.072  0.499    742    690  1.043
noise colouring  ariel snr15              82.95   -0.96  0.1206  0.072  0.503    747    660  1.054
noise colouring  white snr10              81.82   -2.08  0.1348  0.077  0.532    874    685  1.098
noise colouring  ariel snr10              80.97   -2.93  0.1367  0.078  0.537    932    666  1.106
noise colouring  white snr7               77.80   -6.11  0.1635  0.107  0.566   1236    682  1.196
noise colouring  ariel snr7               77.67   -6.24  0.1644  0.108  0.572   1246    680  1.200
noise colouring  white snr5               74.22   -9.69  0.1907  0.131  0.585   1552    673  1.352
noise colouring  ariel snr5               73.88  -10.03  0.1912  0.131  0.590   1583    673  1.372
