axis,kind,r2_lin,r2_nonlin,corr,pct_recovered
stellar spots 20%,deterministic,0.6697737267510266,0.7383602746143683,0.7331753253097284,80.40863062273617
stellar spots 10%,deterministic,0.7180370002226526,0.754546918048232,0.8677411091903835,82.92671172043976
haze 3e7,deterministic,0.7339042495560133,0.7587640510098198,0.7647134541959616,89.26736382120285
haze 2e6,deterministic,0.7636883961788992,0.7717922948541192,0.9033257844923904,79.57511436080718
correlated noise SNR 8,stochastic,0.8991148269986003,0.9108509178194006,0.9189478542582434,
correlated noise SNR 5,stochastic,0.8525922548460247,0.8760490161709343,0.7884169193729812,
white noise SNR 8,stochastic,0.8309992405091383,0.8221140315203332,0.9171765893457738,17.95385428556117
white noise SNR 5,stochastic,0.7292352134621006,0.7328919115351323,0.7905301672770603,28.602316136775936
