Reliability envelope of the randomized screen (norm xgb/rf/mlp trained on the randomized grid), configuration tier1
Decline thresholds: 10% of clean test planets declined, per score, fixed on clean data only.

accepted = accuracy of the planets kept; cov = share kept; credit = accepted minus the CLEAN accepted accuracy at the same
coverage (what declining low-score planets buys on clean data anyway). in/OUT = inside the randomized training range.

--- score: ensemble
case                             range     all  accepted    cov  credit AUROC(err)
correlated_snr12                    in   87.64     87.48   89.0   -0.21      0.441
correlated_snr8                     in   87.27     86.89   87.1   -0.76      0.448
correlated_snr5                     in   86.52     86.18   80.0   -1.28      0.461
   over shifted cases: worst accepted 56.85%, mean coverage 71.9%, mean credit -8.30

--- score: knn
case                             range     all  accepted    cov  credit AUROC(err)
clean                               in   87.92     88.24   90.0   +0.00      0.567
cloud_1e5Pa                         in   86.66     87.44   87.6   -0.85      0.594
cloud_1e4Pa                         in   81.81     84.49   78.2   -3.98      0.626
cloud_1e3Pa                         in   75.55     80.02   56.7   -9.33      0.606
cloud_1e2Pa                        OUT   64.50     73.24   26.7  -18.48      0.586
cloud_1e1Pa                        OUT   52.72     55.41    5.7  -40.54      0.508
haze_2p0e5                          in   87.71     87.97   89.0   -0.39      0.558
haze_2p0e6                          in   87.40     87.00   76.7   -1.55      0.519
haze_3p0e7                          in   69.32     67.25   63.6  -21.86      0.464
haze_2p4e8                          in   60.53     60.38   59.8  -28.93      0.490
haze_1p0e10                        OUT   50.18     52.34   10.2  -42.64      0.507
tlse_spots02                        in   87.82     88.77   82.7   +0.39      0.577
tlse_spots05                        in   86.49     87.55   76.3   -1.02      0.546
tlse_spots10                        in   84.94     84.70   73.3   -3.90      0.469
tlse_spots20                        in   81.70     79.53   76.8   -8.97      0.364
tlse_mixed                         OUT   85.13     85.61   71.5   -3.06      0.502
tlse_fac10                         OUT   84.57     86.13   88.7   -2.18      0.643
quenched                            in   94.23     95.95   80.5   +7.61      0.702
exotransmit                        OUT   86.85     87.14   83.0   -1.24      0.571
exomol                             OUT   66.77     68.03   87.3  -20.27      0.583
compound_spots10_haze3e7            in   65.44     64.51   89.1  -23.84      0.428
compound_spots20_haze3e7            in   62.52     62.14   95.7  -26.03      0.413
absorbers                          OUT   68.98     68.37   91.3  -19.87      0.582
absorbers_quenched                 OUT   70.63     68.90   82.5  -19.48      0.567
white_snr12                         in   86.68     87.26   85.5   -1.06      0.563
white_snr8                          in   83.05     84.12   67.3   -4.73      0.547
white_snr5                          in   74.58     78.13   38.5  -12.63      0.542
correlated_snr12                    in   87.64     88.02   89.1   -0.32      0.575
correlated_snr8                     in   87.27     87.76   86.3   -0.49      0.566
correlated_snr5                     in   86.52     86.64   78.4   -1.85      0.538
   over shifted cases: worst accepted 52.34%, mean coverage 71.7%, mean credit -10.74

randomized screen on clean data: 87.92% (frozen clean-trained screen: see results/tier1_trust_randomized.txt)
