compound,accuracy,loss,sum_of_parts,excess
spots10_haze3e7,0.8764418811002662,0.08828748890860694,0.1380878438331855,-0.04980035492457857
spots20_haze3e7,0.8540372670807453,0.11069210292812781,0.1711401952085183,-0.0604480922803905
spots10_haze3e7_snr8,0.8713398402839396,0.09338952972493353,0.21406388642413499,-0.12067435669920146
spots20_haze3e7_snr8,0.8469387755102041,0.11779059449866902,0.24711623779946779,-0.12932564330079876
spots10_haze2e6_snr10,0.8825421472937001,0.08218722271517309,0.14840283939662824,-0.06621561668145515
