threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3,clean_coverage,haze3e7_coverage,cloud1e2_coverage,absorbers_coverage,spots10_coverage,spots20_coverage,noise_x2_coverage,noise_x3_coverage
1e-5,CH4,KNN,0.590146750524109,0.79979035639413,0.6289308176100629,0.7379454926624738,0.7861635220125787,0.7442348008385744,0.6928721174004193,0.7285115303983228,0.6656184486373166,,,,,,,,
1e-5,CH4,MLP,0.590146750524109,0.8081761006289309,0.40985324947589097,0.6677148846960168,0.8018867924528302,0.7012578616352201,0.60062893081761,0.7064989517819706,0.6467505241090147,,,,,,,,
1e-5,CH4,RFC,0.590146750524109,0.7725366876310272,0.5387840670859538,0.6289308176100629,0.7693920335429769,0.6761006289308176,0.6215932914046122,0.6215932914046122,0.5335429769392034,,,,,,,,
1e-5,CH4,SVC,0.590146750524109,0.810272536687631,0.4119496855345912,0.6781970649895178,0.8060796645702306,0.6918238993710691,0.610062893081761,0.6708595387840671,0.5754716981132075,,,,,,,,
1e-5,H2O,KNN,0.6111111111111112,0.6090146750524109,0.45073375262054505,0.5576519916142557,0.6048218029350105,0.5985324947589099,0.5587002096436059,0.5513626834381551,0.5293501048218029,,,,,,,,
1e-5,H2O,MLP,0.6111111111111112,0.7075471698113207,0.3888888888888889,0.560796645702306,0.7064989517819706,0.6111111111111112,0.5377358490566038,0.6058700209643606,0.5639412997903563,,,,,,,,
1e-5,H2O,RFC,0.6111111111111112,0.6740041928721174,0.39308176100628933,0.5125786163522013,0.6719077568134172,0.5440251572327044,0.5,0.5807127882599581,0.5366876310272537,,,,,,,,
1e-5,H2O,SVC,0.6111111111111112,0.6865828092243187,0.3888888888888889,0.5450733752620545,0.6823899371069182,0.5943396226415094,0.5230607966457023,0.570230607966457,0.5178197064989518,,,,,,,,
1e-5,CO2,KNN,0.589098532494759,0.7777777777777778,0.6761006289308176,0.7431865828092243,0.7725366876310272,0.749475890985325,0.7232704402515723,0.7085953878406709,0.6310272536687631,,,,,,,,
1e-5,CO2,MLP,0.589098532494759,0.8071278825995807,0.4129979035639413,0.710691823899371,0.810272536687631,0.6666666666666666,0.5943396226415094,0.6865828092243187,0.6058700209643606,,,,,,,,
1e-5,CO2,RFC,0.589098532494759,0.7955974842767296,0.4779874213836478,0.7190775681341719,0.7955974842767296,0.6792452830188679,0.60062893081761,0.6373165618448637,0.5356394129979035,,,,,,,,
1e-5,CO2,SVC,0.589098532494759,0.8134171907756813,0.4140461215932914,0.7306079664570231,0.8155136268343816,0.7023060796645703,0.6247379454926625,0.6656184486373166,0.5649895178197065,,,,,,,,
1e-5,NH3,KNN,0.5744234800838575,0.7316561844863732,0.48951781970649894,0.6614255765199162,0.7389937106918238,0.6781970649895178,0.6153039832285115,0.6792452830188679,0.6236897274633124,,,,,,,,
1e-5,NH3,MLP,0.5744234800838575,0.8039832285115304,0.42557651991614254,0.6247379454926625,0.8018867924528302,0.6635220125786163,0.5723270440251572,0.7012578616352201,0.6310272536687631,,,,,,,,
