axis,case,frozen,augmented,pct_of_gap
stellar spots,tlse_spots02,0.9401064773735581,0.9537488908606921,66.84782608695662
stellar spots,tlse_spots05,0.9155944986690329,0.9486468500443656,73.58024691358014
stellar spots,tlse_spots10,0.8890860692102928,0.9417701863354038,73.75776397515533
stellar spots,tlse_spots20,0.8532608695652174,0.9370008873114463,78.07652533609092
stellar spots,clean,0.9605146406388643,0.955301685891748,
haze,haze_2p0e5,0.9589618456078084,0.9574090505767524,-100.00000000000715
haze,haze_2p0e6,0.9473158828748891,0.955301685891748,60.50420168067221
haze,haze_3p0e7,0.9099378881987578,0.948092280390417,75.43859649122804
haze,haze_2p4e8,0.8873114463176575,0.9396628216503993,71.51515151515147
haze,clean,0.9605146406388643,0.957963620230701,
correlated noise,snr12,0.9328970718722271,0.9435448092280391,38.55421686746996
correlated noise,snr10,0.9128216503992902,0.9312333629103815,38.604651162790525
correlated noise,snr8,0.8934117125110914,0.9236912156166814,45.1239669421487
correlated noise,snr5,0.8521517302573203,0.8968500443655724,41.24872057318327
correlated noise,clean,0.9605146406388643,0.951530612244898,
