threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3
1e-5,CH4,KNN,0.5898234683281413,0.6209761163032191,0.4132917964693666,0.5524402907580478,0.6064382139148494,0.5327102803738317,0.4652128764278297,0.5472481827622014,0.4953271028037383
1e-5,CH4,MLP,0.5898234683281413,0.6479750778816199,0.4101765316718588,0.5441329179646937,0.6396677050882659,0.5358255451713395,0.4620976116303219,0.5617860851505712,0.5202492211838006
1e-5,CH4,RFC,0.5898234683281413,0.6417445482866043,0.4101765316718588,0.5285565939771547,0.6417445482866043,0.514018691588785,0.4569055036344756,0.5597092419522326,0.5119418483904465
1e-5,CH4,SVC,0.5898234683281413,0.652128764278297,0.4101765316718588,0.5565939771547248,0.6458982346832814,0.5399792315680166,0.4735202492211838,0.5700934579439252,0.5181723779854621
1e-5,H2O,KNN,0.6105919003115264,0.5752855659397715,0.3925233644859813,0.4953271028037383,0.5659397715472482,0.4672897196261682,0.4485981308411215,0.5129802699896158,0.48598130841121495
1e-5,H2O,MLP,0.6105919003115264,0.6137071651090342,0.39771547248182765,0.5015576323987538,0.6209761163032191,0.5036344755970924,0.4392523364485981,0.5721703011422637,0.5295950155763239
1e-5,H2O,RFC,0.6105919003115264,0.5919003115264797,0.387331256490135,0.4818276220145379,0.5970924195223261,0.48494288681204567,0.43821391484942884,0.5451713395638629,0.5160955347871236
1e-5,H2O,SVC,0.6105919003115264,0.5721703011422637,0.3883696780893043,0.45067497403946,0.5721703011422637,0.4652128764278297,0.4226375908618899,0.5077881619937694,0.470404984423676
1e-5,CO2,KNN,0.5867082035306335,0.5160955347871236,0.42679127725856697,0.44963655244029077,0.5150571131879543,0.4735202492211838,0.48805815160955346,0.46625129802699894,0.446521287642783
1e-5,CO2,MLP,0.5867082035306335,0.46417445482866043,0.4153686396677051,0.4371754932502596,0.4672897196261682,0.4215991692627207,0.4195223260643821,0.44132917964693663,0.43509865005192105
1e-5,CO2,RFC,0.5867082035306335,0.5129802699896158,0.4153686396677051,0.4444444444444444,0.514018691588785,0.43094496365524404,0.4215991692627207,0.46417445482866043,0.4444444444444444
1e-5,CO2,SVC,0.5867082035306335,0.4132917964693666,0.4132917964693666,0.4132917964693666,0.4132917964693666,0.4132917964693666,0.4132917964693666,0.4132917964693666,0.4132917964693666
