threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3,clean_coverage,haze3e7_coverage,cloud1e2_coverage,absorbers_coverage,spots10_coverage,spots20_coverage,noise_x2_coverage,noise_x3_coverage
1e-5,CH4,KNN,0.5898234683281413,0.5846313603322949,0.5970924195223261,0.553478712357217,0.5825545171339563,0.569055036344756,0.5700934579439252,0.5420560747663551,0.5192107995846313,,,,,,,,
1e-5,CH4,MLP,0.5898234683281413,0.6749740394600208,0.5659397715472482,0.5441329179646937,0.671858774662513,0.6458982346832814,0.5981308411214953,0.5867082035306335,0.5379023883696781,,,,,,,,
1e-5,CH4,RFC,0.5898234683281413,0.6739356178608515,0.4652128764278297,0.5150571131879543,0.667705088265836,0.569055036344756,0.5212876427829699,0.5420560747663551,0.48494288681204567,,,,,,,,
1e-5,CH4,SVC,0.5898234683281413,0.6500519210799585,0.5898234683281413,0.5441329179646937,0.6469366562824507,0.6137071651090342,0.5752855659397715,0.5482866043613707,0.509865005192108,,,,,,,,
1e-5,H2O,KNN,0.6105919003115264,0.48286604361370716,0.4652128764278297,0.4683281412253375,0.47767393561786087,0.48390446521287644,0.4818276220145379,0.4745586708203531,0.48078920041536866,,,,,,,,
1e-5,H2O,MLP,0.6105919003115264,0.6074766355140186,0.43509865005192105,0.5129802699896158,0.6074766355140186,0.5410176531671859,0.5015576323987538,0.54932502596054,0.5264797507788161,,,,,,,,
1e-5,H2O,RFC,0.6105919003115264,0.5784008307372793,0.40809968847352024,0.4787123572170301,0.5763239875389408,0.505711318795431,0.4745586708203531,0.5233644859813084,0.48078920041536866,,,,,,,,
1e-5,H2O,SVC,0.6105919003115264,0.48805815160955346,0.42679127725856697,0.446521287642783,0.48909657320872274,0.4745586708203531,0.45586708203530635,0.45482866043613707,0.4444444444444444,,,,,,,,
1e-5,CO2,KNN,0.5867082035306335,0.5202492211838006,0.5254413291796469,0.5025960539979232,0.5254413291796469,0.5223260643821391,0.514018691588785,0.4932502596053998,0.48805815160955346,,,,,,,,
1e-5,CO2,MLP,0.5867082035306335,0.5825545171339563,0.5441329179646937,0.5462097611630322,0.5794392523364486,0.5358255451713395,0.5223260643821391,0.5254413291796469,0.5088265835929388,,,,,,,,
1e-5,CO2,RFC,0.5867082035306335,0.5524402907580478,0.44963655244029077,0.4818276220145379,0.5565939771547248,0.4963655244029076,0.46105919003115264,0.4724818276220145,0.4569055036344756,,,,,,,,
1e-5,CO2,SVC,0.5867082035306335,0.5825545171339563,0.5524402907580478,0.5358255451713395,0.5784008307372793,0.5420560747663551,0.5223260643821391,0.5088265835929388,0.4932502596053998,,,,,,,,
1e-5,NH3,KNN,0.5752855659397715,0.5420560747663551,0.5192107995846313,0.5036344755970924,0.5410176531671859,0.5192107995846313,0.5129802699896158,0.49221183800623053,0.48909657320872274,,,,,,,,
1e-5,NH3,MLP,0.5752855659397715,0.7455867082035307,0.46105919003115264,0.5597092419522326,0.7403946002076843,0.6116303219106958,0.5607476635514018,0.6282450674974039,0.5763239875389408,,,,,,,,
1e-5,NH3,RFC,0.5752855659397715,0.7580477673935618,0.43302180685358255,0.5306334371754933,0.754932502596054,0.5877466251298027,0.5223260643821391,0.6064382139148494,0.5181723779854621,,,,,,,,
1e-5,NH3,SVC,0.5752855659397715,0.6749740394600208,0.4787123572170301,0.5451713395638629,0.667705088265836,0.5784008307372793,0.5389408099688473,0.5680166147455867,0.5306334371754933,,,,,,,,
1e-4,CH4,KNN,0.6240913811007269,0.6500519210799585,0.6614745586708204,0.6355140186915887,0.6479750778816199,0.652128764278297,0.6614745586708204,0.6292834890965732,0.6147455867082036,,,,,,,,
1e-4,CH4,MLP,0.6240913811007269,0.7445482866043613,0.6812045690550363,0.6656282450674974,0.7383177570093458,0.7300103842159917,0.7133956386292835,0.660436137071651,0.6448598130841121,,,,,,,,
1e-4,CH4,RFC,0.6240913811007269,0.7497403946002077,0.6490134994807892,0.6583592938733126,0.7497403946002077,0.7082035306334372,0.6801661474558671,0.6687435098650052,0.6469366562824507,,,,,,,,
1e-4,CH4,SVC,0.6240913811007269,0.7102803738317757,0.67601246105919,0.6542056074766355,0.7092419522326064,0.6936656282450675,0.6853582554517134,0.6552440290758048,0.6438213914849429,,,,,,,,
1e-4,H2O,KNN,0.6178608515057114,0.5638629283489096,0.564901349948079,0.5659397715472482,0.569055036344756,0.564901349948079,0.5586708203530634,0.5586708203530634,0.5586708203530634,,,,,,,,
1e-4,H2O,MLP,0.6178608515057114,0.6801661474558671,0.6303219106957425,0.6355140186915887,0.6801661474558671,0.6739356178608515,0.6708203530633438,0.6438213914849429,0.6303219106957425,,,,,,,,
1e-4,H2O,RFC,0.6178608515057114,0.6625129802699896,0.6188992731048806,0.6261682242990654,0.6552440290758048,0.6355140186915887,0.6313603322949117,0.6375908618899273,0.6261682242990654,,,,,,,,
1e-4,H2O,SVC,0.6178608515057114,0.6199376947040498,0.6178608515057114,0.6209761163032191,0.6209761163032191,0.6199376947040498,0.6199376947040498,0.6209761163032191,0.6209761163032191,,,,,,,,
1e-4,CO2,KNN,0.5981308411214954,0.6022845275181724,0.5970924195223261,0.5867082035306335,0.6012461059190031,0.5970924195223261,0.5919003115264797,0.5877466251298027,0.5835929387331257,,,,,,,,
1e-4,CO2,MLP,0.5981308411214954,0.6386292834890965,0.6240913811007269,0.6199376947040498,0.6334371754932503,0.6292834890965732,0.6251298026998962,0.6033229491173416,0.5970924195223261,,,,,,,,
1e-4,CO2,RFC,0.5981308411214954,0.608515057113188,0.6022845275181724,0.6002076843198338,0.6074766355140186,0.6074766355140186,0.6043613707165109,0.6022845275181724,0.5981308411214953,,,,,,,,
1e-4,CO2,SVC,0.5981308411214954,0.6209761163032191,0.6064382139148494,0.6033229491173416,0.6209761163032191,0.6147455867082036,0.6116303219106958,0.5981308411214953,0.5970924195223261,,,,,,,,
1e-4,NH3,KNN,0.6095534787123572,0.6220145379023884,0.6282450674974039,0.608515057113188,0.6188992731048806,0.6251298026998962,0.6240913811007269,0.6074766355140186,0.592938733125649,,,,,,,,
1e-4,NH3,MLP,0.6095534787123572,0.8110072689511942,0.6199376947040498,0.6645898234683282,0.8078920041536864,0.7279335410176532,0.6863966770508827,0.7050882658359294,0.6645898234683282,,,,,,,,
1e-4,NH3,RFC,0.6095534787123572,0.7871235721703012,0.6116303219106958,0.6365524402907581,0.7850467289719626,0.6895119418483905,0.6542056074766355,0.6635514018691588,0.6303219106957425,,,,,,,,
1e-4,NH3,SVC,0.6095534787123572,0.6947040498442367,0.612668743509865,0.6334371754932503,0.6936656282450675,0.6635514018691588,0.6490134994807892,0.6407061266874351,0.6261682242990654,,,,,,,,
1e-3,CH4,KNN,0.7912772585669782,0.7798546209761164,0.778816199376947,0.7767393561786086,0.7808930425752856,0.7808930425752856,0.7860851505711319,0.7725856697819314,0.770508826583593,,,,,,,,
1e-3,CH4,MLP,0.7912772585669782,0.8193146417445483,0.7985462097611631,0.8016614745586709,0.8213914849428868,0.822429906542056,0.8078920041536864,0.8026998961578401,0.7933541017653167,,,,,,,,
1e-3,CH4,RFC,0.7912772585669782,0.8099688473520249,0.7912772585669782,0.7923156801661475,0.8130841121495327,0.8016614745586709,0.7954309449636553,0.7912772585669782,0.7912772585669782,,,,,,,,
1e-3,CH4,SVC,0.7912772585669782,0.7933541017653167,0.794392523364486,0.7912772585669782,0.7933541017653167,0.7933541017653167,0.7923156801661475,0.7923156801661475,0.7912772585669782,,,,,,,,
1e-3,H2O,KNN,0.8255451713395638,0.8130841121495327,0.8120456905503635,0.814122533748702,0.8130841121495327,0.8120456905503635,0.8130841121495327,0.8110072689511942,0.8110072689511942,,,,,,,,
1e-3,H2O,MLP,0.8255451713395638,0.8203530633437176,0.8234683281412254,0.8089304257528557,0.8193146417445483,0.8265835929387332,0.8255451713395638,0.8026998961578401,0.7933541017653167,,,,,,,,
1e-3,H2O,RFC,0.8255451713395638,0.8245067497403946,0.8255451713395638,0.8255451713395638,0.8245067497403946,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,,,,,,,,
1e-3,H2O,SVC,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638,,,,,,,,
1e-3,CO2,KNN,0.8161993769470405,0.7892004153686397,0.7902388369678089,0.794392523364486,0.7892004153686397,0.7881619937694704,0.7912772585669782,0.794392523364486,0.794392523364486,,,,,,,,
1e-3,CO2,MLP,0.8161993769470405,0.794392523364486,0.8151609553478713,0.8016614745586709,0.7923156801661475,0.8099688473520249,0.8110072689511942,0.8026998961578401,0.8068535825545171,,,,,,,,
1e-3,CO2,RFC,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,,,,,,,,
1e-3,CO2,SVC,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,0.8161993769470405,,,,,,,,
1e-3,NH3,KNN,0.8151609553478713,0.8110072689511942,0.8037383177570093,0.8110072689511942,0.8099688473520249,0.814122533748702,0.8151609553478713,0.8078920041536864,0.8026998961578401,,,,,,,,
1e-3,NH3,MLP,0.8151609553478713,0.8546209761163032,0.8151609553478713,0.8255451713395638,0.8546209761163032,0.8494288681204569,0.8390446521287642,0.8307372793354102,0.8234683281412254,,,,,,,,
1e-3,NH3,RFC,0.8151609553478713,0.8650051921079959,0.8151609553478713,0.8213914849428868,0.8650051921079959,0.833852544132918,0.8286604361370716,0.8245067497403946,0.822429906542056,,,,,,,,
