case,config,n,accuracy,acc_in_box,acc_out_box,acc_M,acc_K,acc_G,acc_F+,acc_easy_targets,acc_hard_targets
grid noise (SNR 15 on own amplitude),ariel,965,0.933678756476684,0.9453551912568307,0.9182692307692307,0.7916666666666666,0.9420289855072463,0.9660493827160493,0.9774436090225563,0.93125,0.934984520123839
"tier-2 sigma, ExoSim2 shape, 102 bins",ariel,965,0.9419689119170984,0.9471766848816029,0.9350961538461539,0.8214285714285714,0.9323671497584541,0.9814814814814815,0.9774436090225563,0.928125,0.9597523219814241
"tier-2 sigma, tier-2 binning (51)",tier2,965,0.9305699481865285,0.9253187613843351,0.9375,0.8035714285714286,0.927536231884058,0.9660493827160493,0.9699248120300752,0.9375,0.9411764705882353
"tier-1 sigma, tier-1 binning (7)",tier1,965,0.7917098445595855,0.7759562841530054,0.8125,0.6011904761904762,0.7198067632850241,0.8580246913580247,0.8872180451127819,0.78125,0.8080495356037152
