axis,case,kind,clean,frozen,augmented,oracle,pct_vs_clean,pct_vs_oracle,irreducible
white noise,snr8,stochastic,0.8855368234250222,0.8239795918367347,,0.8462732919254659,,,3.9263531499556303
correlated noise,snr8,stochastic,0.8855368234250222,0.8834294587400178,,0.8858695652173914,,,-0.033274179236919554
white noise,snr5,stochastic,0.8855368234250222,0.7495563442768411,,0.7951419698314108,,,9.039485359361132
correlated noise,snr5,stochastic,0.8855368234250222,0.8786601597160604,,0.8798802129547472,,,0.5656610470274992
white noise,snr5 (aug incl. SNR 5),stochastic,0.8855368234250222,0.7495563442768411,0.785603371783496,0.7951419698314108,26.508972267536745,79.07542579075432,9.039485359361132
correlated noise,snr5 (aug incl. SNR 5),stochastic,0.8855368234250222,0.8786601597160604,0.8792147293700089,0.8798802129547472,8.064516129031972,45.45454545454297,0.5656610470274992
gain ramp,x1.0,deterministic,0.8855368234250222,0.8868677905944987,,0.8868677905944987,,,-0.133096716947656
gain ramp,x2.0,deterministic,0.8855368234250222,0.8852040816326531,,0.8873114463176575,,,-0.17746228926353025
stellar spots,tlse_spots10,deterministic,0.8855368234250222,0.7892635314995563,,0.8693433895297249,,,1.619343389529726
stellar spots,tlse_spots20,deterministic,0.8855368234250222,0.7076308784383318,,0.8555900621118012,,,2.9946761313220938
haze,haze_3p0e7,deterministic,0.8855368234250222,0.59472049689441,,0.8144409937888198,,,7.109582963620231
exotransmit,exotransmit,deterministic,0.8855368234250222,0.8755545696539485,0.87877107364685,0.87877107364685,32.22222222222235,,0.6765749778172125
exomol,exomol,deterministic,0.8855368234250222,0.6750221827861579,0.8033496007098492,0.8033496007098492,60.958904109589064,,8.218722271517297
absorbers,absorbers,deterministic,0.8855368234250222,0.6942102928127772,0.8482697426796806,0.8482697426796806,80.52173913043481,,3.7267080745341574
