subset,n,clean,frozen,augmented,pct_of_gap
all planets,9016,0.9584072759538598,0.9823646850044365,0.9853593611357586,
T 500-1000 K,2345,0.886140724946695,0.9744136460554371,0.9833688699360341,
T 1000-1500 K,2320,0.9771551724137931,0.9762931034482759,0.9771551724137931,
T 1500-2500 K,4351,0.9873592277637325,0.9898873822109859,0.9908067111008964,
reverse: quenched-only -> equilibrium,9016,0.985581188997338,0.8967391304347826,0.9543034605146407,64.79400749063674
