threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3
1e-5,CH4,KNN,0.5898234683281413,0.6552440290758048,0.4153686396677051,0.6002076843198338,0.6313603322949117,0.5638629283489096,0.48598130841121495,0.5939771547248183,0.5451713395638629
1e-5,CH4,MLP,0.5898234683281413,0.6967808930425753,0.411214953271028,0.5908618899273105,0.6770508826583593,0.5721703011422637,0.48909657320872274,0.6074766355140186,0.5472481827622014
1e-5,CH4,RFC,0.5898234683281413,0.667705088265836,0.4122533748701973,0.5804776739356179,0.6531671858774662,0.5555555555555556,0.47767393561786087,0.5835929387331257,0.5306334371754933
1e-5,CH4,SVC,0.5898234683281413,0.6915887850467289,0.411214953271028,0.6012461059190031,0.6770508826583593,0.573208722741433,0.4953271028037383,0.6074766355140186,0.5451713395638629
1e-5,H2O,KNN,0.6105919003115264,0.5503634475597092,0.3894080996884735,0.4766355140186916,0.553478712357217,0.4683281412253375,0.4288681204569055,0.5327102803738317,0.5192107995846313
1e-5,H2O,MLP,0.6105919003115264,0.6178608515057114,0.39460020768431986,0.48701973001038423,0.616822429906542,0.48701973001038423,0.4454828660436137,0.564901349948079,0.5379023883696781
1e-5,H2O,RFC,0.6105919003115264,0.5846313603322949,0.387331256490135,0.4672897196261682,0.5939771547248183,0.48805815160955346,0.4423676012461059,0.5773624091381101,0.5358255451713395
1e-5,H2O,SVC,0.6105919003115264,0.5804776739356179,0.3883696780893043,0.4454828660436137,0.5784008307372793,0.46417445482866043,0.4257528556593977,0.5316718587746625,0.4974039460020768
1e-5,CO2,KNN,0.5867082035306335,0.5150571131879543,0.43509865005192105,0.4787123572170301,0.5160955347871236,0.4724818276220145,0.43406022845275183,0.5025960539979232,0.44132917964693663
1e-5,CO2,MLP,0.5867082035306335,0.5150571131879543,0.4174454828660436,0.4683281412253375,0.5150571131879543,0.44963655244029077,0.4402907580477674,0.46002076843198336,0.4475597092419522
1e-5,CO2,RFC,0.5867082035306335,0.5223260643821391,0.4236760124610592,0.470404984423676,0.5275181723779855,0.44963655244029077,0.43613707165109034,0.4724818276220145,0.4517133956386293
1e-5,CO2,SVC,0.5867082035306335,0.4745586708203531,0.4215991692627207,0.4537902388369678,0.4735202492211838,0.4485981308411215,0.4423676012461059,0.4485981308411215,0.4392523364485981
1e-5,NH3,KNN,0.5752855659397715,0.7206645898234684,0.42471443406022846,0.5462097611630322,0.7165109034267912,0.5919003115264797,0.5202492211838006,0.6375908618899273,0.5711318795430945
1e-5,NH3,MLP,0.5752855659397715,0.7372793354101765,0.42471443406022846,0.5316718587746625,0.7383177570093458,0.6116303219106958,0.5275181723779855,0.6448598130841121,0.5794392523364486
1e-5,NH3,RFC,0.5752855659397715,0.735202492211838,0.42471443406022846,0.5295950155763239,0.7227414330218068,0.5939771547248183,0.5233644859813084,0.6261682242990654,0.564901349948079
1e-5,NH3,SVC,0.5752855659397715,0.7393561786085151,0.42471443406022846,0.5295950155763239,0.7383177570093458,0.6074766355140186,0.5202492211838006,0.6386292834890965,0.5752855659397715
1e-4,CH4,KNN,0.37590861889927313,0.7393561786085151,0.6240913811007269,0.6645898234683282,0.7258566978193146,0.6801661474558671,0.6438213914849429,0.667705088265836,0.632398753894081
1e-4,CH4,MLP,0.37590861889927313,0.7622014537902388,0.6240913811007269,0.6645898234683282,0.7580477673935618,0.6895119418483905,0.6458982346832814,0.6895119418483905,0.6531671858774662
1e-4,CH4,RFC,0.37590861889927313,0.7518172377985463,0.6240913811007269,0.6500519210799585,0.7435098650051921,0.6770508826583593,0.6490134994807892,0.6728971962616822,0.6469366562824507
1e-4,CH4,SVC,0.37590861889927313,0.7455867082035307,0.6240913811007269,0.6780893042575286,0.7414330218068536,0.6770508826583593,0.6490134994807892,0.6770508826583593,0.6469366562824507
1e-4,H2O,KNN,0.3821391484942887,0.656282450674974,0.6188992731048806,0.6178608515057114,0.6614745586708204,0.6282450674974039,0.6282450674974039,0.6137071651090342,0.6064382139148494
1e-4,H2O,MLP,0.3821391484942887,0.6853582554517134,0.6188992731048806,0.632398753894081,0.6832814122533749,0.6510903426791277,0.6261682242990654,0.6500519210799585,0.6261682242990654
1e-4,H2O,RFC,0.3821391484942887,0.6853582554517134,0.6178608515057114,0.6251298026998962,0.6874350986500519,0.6438213914849429,0.6272066458982347,0.6355140186915887,0.6272066458982347
1e-4,H2O,SVC,0.3821391484942887,0.6303219106957425,0.6178608515057114,0.6157840083073728,0.6303219106957425,0.6199376947040498,0.6178608515057114,0.6209761163032191,0.6209761163032191
1e-4,CO2,KNN,0.40186915887850466,0.6116303219106958,0.6033229491173416,0.5804776739356179,0.6105919003115264,0.5908618899273105,0.5960539979231568,0.5877466251298027,0.573208722741433
1e-4,CO2,MLP,0.40186915887850466,0.6157840083073728,0.5981308411214953,0.6147455867082036,0.6157840083073728,0.6012461059190031,0.5981308411214953,0.6012461059190031,0.6064382139148494
1e-4,CO2,RFC,0.40186915887850466,0.6074766355140186,0.5981308411214953,0.5981308411214953,0.6043613707165109,0.6043613707165109,0.5970924195223261,0.6002076843198338,0.5939771547248183
1e-4,CO2,SVC,0.40186915887850466,0.5981308411214953,0.5981308411214953,0.5981308411214953,0.5981308411214953,0.5981308411214953,0.5981308411214953,0.5981308411214953,0.5981308411214953
1e-4,NH3,KNN,0.3904465212876428,0.7622014537902388,0.6095534787123572,0.6542056074766355,0.7653167185877466,0.7071651090342679,0.6490134994807892,0.7030114226375909,0.6635514018691588
1e-4,NH3,MLP,0.3904465212876428,0.8016614745586709,0.6095534787123572,0.6407061266874351,0.8058151609553479,0.711318795430945,0.6531671858774662,0.7165109034267912,0.6728971962616822
1e-4,NH3,RFC,0.3904465212876428,0.7819314641744548,0.6095534787123572,0.6365524402907581,0.778816199376947,0.6978193146417445,0.6469366562824507,0.7071651090342679,0.6656282450674974
1e-4,NH3,SVC,0.3904465212876428,0.7871235721703012,0.6095534787123572,0.6344755970924195,0.7871235721703012,0.6978193146417445,0.6542056074766355,0.7102803738317757,0.6687435098650052
1e-3,CH4,KNN,0.2087227414330218,0.8234683281412254,0.7912772585669782,0.77466251298027,0.8213914849428868,0.7985462097611631,0.7933541017653167,0.7819314641744548,0.7757009345794392
1e-3,CH4,MLP,0.2087227414330218,0.8276220145379024,0.7912772585669782,0.7808930425752856,0.8265835929387332,0.8078920041536864,0.7975077881619937,0.7767393561786086,0.7694704049844237
1e-3,CH4,RFC,0.2087227414330218,0.818276220145379,0.7912772585669782,0.7829698857736241,0.8161993769470405,0.8026998961578401,0.794392523364486,0.7819314641744548,0.778816199376947
