axis,case,frozen,augmented,pct_of_gap,cost
gain ramp,x0.5,0.9562999112688554,0.9570763087843833,18.4210526315786,0.4214729370008885
gain ramp,x1.0,0.9496450754214729,0.9549689440993789,48.97959183673515,1.0869565217391353
gain ramp,x2.0,0.9348935226264419,0.9505323868677906,61.03896103896109,2.5621118012422395
gain ramp,clean,0.9605146406388643,0.9580745341614907,,0.0
