mean_pred,observed,n,lo,hi,model
0.0007856676820665598,0.0,902,0.0,0.004240918058963067,raw_xgb
0.004908513277769089,0.0,902,0.0,0.004240918058963067,raw_xgb
0.021717824041843414,0.01662971175166297,902,0.010103244256552357,0.02725604681597069,raw_xgb
0.13616004586219788,0.2039911308203991,902,0.17897461552156213,0.23151834483707,raw_xgb
0.45642414689064026,0.47671840354767187,902,0.4442911408735186,0.5093431369074973,raw_xgb
0.6951779127120972,0.6219512195121951,902,0.5898519882494324,0.653016080516674,raw_xgb
0.8977265954017639,0.7902330743618202,901,0.7624435618001432,0.815558156953725,raw_xgb
0.9713081121444702,0.9378468368479467,901,0.9201470617436968,0.9518287625331711,raw_xgb
0.990838885307312,0.9722530521642619,901,0.9593598043520515,0.9811363001595006,raw_xgb
0.9979565143585205,0.9822419533851277,901,0.9713488286323227,0.9890402604634926,raw_xgb
0.009715447154471544,0.0,902,0.0,0.004240918058963067,raw_rf
0.033015521064301556,0.0011086474501108647,902,0.00019572527698086825,0.0062530843162195305,raw_rf
0.0875979305247598,0.024390243902439025,902,0.01616116668233431,0.03665336512985007,raw_rf
0.2584441980783444,0.2006651884700665,902,0.1758224018155424,0.22804688394037778,raw_rf
0.488839615668884,0.4434589800443459,902,0.4113455701083683,0.4760519616455277,raw_rf
0.6534885439763489,0.6430155210643016,902,0.611202337718664,0.6736156701979521,raw_rf
0.7835405105438402,0.827968923418424,901,0.8019458761918594,0.851207117658114,raw_rf
0.8729152793192749,0.9311875693673696,901,0.9127617943178662,0.9459520402361595,raw_rf
0.9248908620051793,0.9600443951165372,901,0.9451810510484555,0.971001405637886,raw_rf
0.9656381798002219,0.9700332963374029,901,0.9567507130077184,0.9793247282628863,raw_rf
1.8891485524363816e-05,0.0,902,0.0,0.004240918058963067,pca_xgb
0.00017012997705023736,0.0,902,0.0,0.004240918058963067,pca_xgb
0.001760393613949418,0.0022172949002217295,902,0.0006082602471622557,0.008048440880275476,pca_xgb
0.035826750099658966,0.05321507760532151,902,0.04037006793506977,0.06984964376728525,pca_xgb
0.34982767701148987,0.3425720620842572,902,0.31232740209461207,0.37415200004368665,pca_xgb
0.810931921005249,0.7073170731707317,902,0.6767945403015648,0.7360811766008163,pca_xgb
0.9778019189834595,0.9367369589345172,901,0.9189128943051313,0.9508525983512629,pca_xgb
0.996831476688385,0.9689234184239733,901,0.9554520401325443,0.9784130695175867,pca_xgb
0.9992182850837708,0.9944506104328524,901,0.9870753295732079,0.9976274073478179,pca_xgb
0.999820351600647,0.9966703662597114,901,0.9902563877928932,0.9988670123690799,pca_xgb
0.06923606554167054,0.0,902,0.0,0.004240918058963067,pca_rf
0.13310885907490483,0.0,902,0.0,0.004240918058963067,pca_rf
0.22000356956643272,0.005543237250554324,902,0.0023699597752084092,0.01291041595494132,pca_rf
0.3340128274217751,0.082039911308204,902,0.06585352819486537,0.1017713633976603,pca_rf
0.46884286132821934,0.3968957871396896,902,0.36546867925399684,0.4291974080619312,pca_rf
0.5667058000020057,0.6662971175166297,902,0.6348763079933236,0.6963074221422761,pca_rf
0.6751798371196623,0.9134295227524972,901,0.893267566687526,0.9300809619389208,pca_rf
0.7883238338992329,0.9578246392896781,901,0.9426413295198739,0.9691204639255202,pca_rf
0.8714398386289437,0.9866814650388457,901,0.9768652685889665,0.9923651469887433,pca_rf
0.9418505516943838,0.9933407325194229,901,0.9855478344982962,0.996944570802256,pca_rf
1.0895947752942448e-06,0.0,902,0.0,0.004240918058963067,norm_xgb
1.7485413081885781e-06,0.0,902,0.0,0.004240918058963067,norm_xgb
2.6484981390240137e-06,0.0,902,0.0,0.004240918058963067,norm_xgb
0.00018488832574803382,0.0,902,0.0,0.004240918058963067,norm_xgb
0.20481707155704498,0.18292682926829268,902,0.15905890844007253,0.20948411276805035,norm_xgb
0.9092485904693604,0.8536585365853658,902,0.8290925142604063,0.8752248851613026,norm_xgb
0.9921402335166931,0.97669256381798,901,0.9646315963313261,0.9847058346621205,norm_xgb
0.9979047775268555,0.9889012208657048,901,0.9796906603277169,0.9939604184909403,norm_xgb
0.9994615912437439,1.0,901,0.9957543950233941,0.9999999999999999,norm_xgb
0.9999045133590698,1.0,901,0.9957543950233941,0.9999999999999999,norm_xgb
0.0,0.0,902,0.0,0.004240918058963067,norm_rf
0.0,0.0,902,0.0,0.004240918058963067,norm_rf
0.0,0.0,902,0.0,0.004240918058963067,norm_rf
0.029752402069475242,0.0,902,0.0,0.004240918058963067,norm_rf
0.37340724316334073,0.20288248337028825,902,0.17792357167584494,0.23036149714854992,norm_rf
0.7375572801182557,0.8625277161862528,902,0.8385130572057972,0.8834674744898104,norm_rf
0.9361191268960415,0.9544950055493896,901,0.9388494152662755,0.9662813833176976,norm_rf
0.9750092489826119,0.9877913429522752,901,0.978271263839467,0.9931694833587166,norm_rf
0.9887902330743619,0.9977802441731409,901,0.9919426673585446,0.999391064423902,norm_rf
0.997273399926008,0.9966703662597114,901,0.9902563877928932,0.9988670123690799,norm_rf
5.290959279591334e-07,0.0,902,0.0,0.004240918058963067,norm_mlp
3.601267735575675e-06,0.0,902,0.0,0.004240918058963067,norm_mlp
1.4619705325458199e-05,0.0,902,0.0,0.004240918058963067,norm_mlp
0.0006248819991014898,0.0,902,0.0,0.004240918058963067,norm_mlp
0.22213034331798553,0.2106430155210643,902,0.18528718900658522,0.23845312055747095,norm_mlp
