tier,bins,clean_snr15,clean_snr7,cloud_1e4Pa,cloud_1e3Pa,haze_3p0e7,tlse_spots10,tlse_spots20,exotransmit,exomol,quenched,compound_spots20_haze3e7
ariel,102,0.9584072759538598,0.9301242236024845,0.9478704525288376,0.9110470275066548,0.9296805678793256,0.8936335403726708,0.8612466725820763,0.9009538598047915,0.8510425909494232,0.9823646850044365,0.8604702750665484
tier2,51,0.9537488908606921,0.9285714285714286,0.9318988464951198,0.8913043478260869,0.89773735581189,0.8779946761313221,0.8330745341614907,0.8869787045252884,0.7228260869565217,0.9802573203194321,0.7809449866903283
tier1,7,0.8807675244010648,0.8433895297249334,0.8350709849157054,0.7555456965394853,0.6059228039041704,0.7898181011535049,0.707963620230701,0.8657941437444543,0.6468500443655724,0.9220275066548358,0.5012200532386868
