axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,control_accuracy,control_brier,d_acc,d_brier
clean,reference,9016,0.9647293700088732,0.9511197243755384,0.9798136645962733,0.9652534965034965,0.026351851928734776,0.010277355819078663,0.9943817714578598,0.5150842945874001,0,0,1.0,,,0.0,0.0
absorbers,absorbers,9016,0.7192768411712511,0.926629261976694,0.4762644188110027,0.6291575091575091,0.26330217181408566,0.24656233004793435,0.8870756927052292,0.25698757763975155,2271,58,1.024455227659111,,,-24.545252883762203,0.2369503198853509
absorbers,absorbers_quenched,9016,0.6645962732919255,0.9513381995133819,0.3469387755102041,0.5084525357607282,0.3159887296288384,0.3201018511145607,0.9433050944037968,0.1823425022182786,2977,271,1.006626169939666,,,-30.013309671694767,0.2896368777001036
cloud,cloud_1e1Pa,9016,0.6368677905944987,0.6274793388429752,0.6736912156166814,0.6497646555412923,0.2518097933550022,0.17218033665627533,0.6979008874295445,0.5368234250221828,3056,100,0.027008150690846895,,,-32.786157941437445,0.22545794142626743
cloud,cloud_1e2Pa,9016,0.8545918367346939,0.8543560186211483,0.854924578527063,0.8546402040137487,0.10312200782088134,0.05273078214440951,0.9369133961983389,0.5003327417923691,1081,88,0.292816238487133,,,-11.01375332741793,0.07677015589214656
cloud,cloud_1e3Pa,9016,0.9243566992014197,0.9146077156480278,0.9361135758651287,0.9252356939267704,0.05526265233307191,0.01812304928596543,0.9761289994953267,0.511756876663709,429,65,0.5824265825522835,,,-4.037267080745344,0.028910800404337137
cloud,cloud_1e4Pa,9016,0.951530612244898,0.9420195439739414,0.9622892635314996,0.952046526939537,0.035947671459749864,0.009878230595704293,0.9880386657575727,0.5107586512866016,173,54,0.8132900434297878,,,-1.3198757763975166,0.009595819531015088
cloud,cloud_1e5Pa,9016,0.9635093167701864,0.9531554977228367,0.9749334516415262,0.9639214826187081,0.027894418366621276,0.007060591116472769,0.9930291775481073,0.5114241348713399,42,31,0.9502556992530301,,,-0.12200532386867913,0.0015425664378865
compound,compound_spots10_haze2e6_snr10,9016,0.8823203194321206,0.8630714135243311,0.9088287488908607,0.8853592652620206,0.10082315482325953,0.08200597636433954,0.9622877380958941,0.52650842945874,866,123,0.9548763964962385,,,-8.240905057675253,0.07447130289452475
compound,compound_spots10_haze3e7,9016,0.8764418811002662,0.8428282828282828,0.9254658385093167,0.8822161133432015,0.10307342542940956,0.07476123541791314,0.9568009676576159,0.5490239574090505,904,108,1.044133237954566,,,-8.828748890860695,0.07672157350067478
compound,compound_spots10_haze3e7_snr8,9016,0.8764418811002662,0.8428282828282828,0.9254658385093167,0.8822161133432015,0.10307342542940956,0.07476123541791314,0.9568009676576159,0.5490239574090505,904,108,1.044133237954566,,,-8.828748890860695,0.07672157350067478
compound,compound_spots20_haze3e7,9016,0.8540372670807453,0.836424957841484,0.8802129547471162,0.8577604842196281,0.11853318508985992,0.0960270768367476,0.9430392011362626,0.5261756876663709,1120,122,1.3322243759347518,,,-11.06921029281278,0.09218133316112515
compound,compound_spots20_haze3e7_snr8,9016,0.8540372670807453,0.836424957841484,0.8802129547471162,0.8577604842196281,0.11853318508985992,0.0960270768367476,0.9430392011362626,0.5261756876663709,1120,122,1.3322243759347518,,,-11.06921029281278,0.09218133316112515
exomol,exomol,9016,0.805678793256433,0.9565937707090788,0.6404170363797693,0.7672070156789795,0.14425666499076092,0.17399099727838122,0.9667687789980388,0.3347382431233363,1586,152,0.8848894893166903,,,-15.905057675244016,0.11790481306202615
exotransmit,exotransmit,9016,0.8998447204968945,0.9724770642201835,0.8229813664596274,0.8915054667788057,0.08384227474862183,0.08415416782750447,0.9870719086407758,0.4231366459627329,728,143,0.8959993365886197,,,-6.488464951197869,0.057490422819887047
haze,haze_1p0e10,9016,0.613243123336291,0.68045245669848,0.42701863354037267,0.5247376311844077,0.2907019915432923,0.22956357281506332,0.6596647860177982,0.3137755102040816,3341,172,0.4824019435783472,,,-35.14862466725821,0.2643501396145575
haze,haze_2p0e5,9016,0.9630656610470275,0.9450010658708164,0.9833629103815439,0.9638004130883792,0.027631557396514517,0.015386101835208048,0.9942491323715937,0.5202972493345164,33,18,0.9858261289781407,,,-0.16637089618456447,0.001279705467779741
haze,haze_2p0e6,9016,0.94698314108252,0.9103869653767821,0.9915705412599822,0.9492461244425568,0.0416662725237142,0.03962182913283378,0.9911360135466556,0.5445874001774623,218,58,0.9378154543612027,,,-1.7746228926353136,0.015314420594979426
haze,haze_2p4e8,9016,0.8809893522626442,0.8104102656786554,0.9946761313220941,0.8931381336520267,0.09594950001548898,0.10336378625827247,0.9652044447847423,0.6136867790594499,841,86,0.7780688345971893,,,-8.374001774622897,0.0695976480867542
haze,haze_3p0e7,9016,0.9035048802129547,0.8393656716417911,0.9980035492457853,0.9118362383461694,0.0826041230924645,0.08885504160956206,0.9767503930703103,0.5944986690328306,635,83,0.8822470686259822,,,-6.1224489795918435,0.05625227116372972
quenched,quenched,9016,0.9830301685891748,0.9689855696747792,0.9980035492457853,0.9832805157906239,0.014529914334474902,0.010096200237915976,0.9950920831663557,0.5149733806566105,53,218,0.999242916811753,,,1.8300798580301647,-0.011821937594259873
