axis,kind,r2_lin,r2_nonlin,corr,pct_recovered
stellar spots 20%,deterministic,0.7178299687677796,0.7900722289970139,0.7221339443400041,67.91120080726533
stellar spots 10%,deterministic,0.7659671166042976,0.8009835400084573,0.8612370850260282,67.099567099567
haze 3e7,deterministic,0.7873454572475741,0.8052981954286847,0.7452651125143013,75.18115942028987
haze 2e6,deterministic,0.8050785876618849,0.8115755268083527,0.9055946767359537,59.99999999999962
correlated noise SNR 8,stochastic,0.9257491768631766,0.9409374385433363,0.9224045489427088,47.72393538913354
correlated noise SNR 5,stochastic,0.8941856877215367,0.9205089253876302,0.793699572157023,46.86672550750219
white noise SNR 8,stochastic,0.8620544869355203,0.8534335338607233,0.919588647552831,28.822055137844536
white noise SNR 5,stochastic,0.7886443534581485,0.791705082426189,0.794934711210673,28.08641975308628
