band,n_train,raw,norm,gap,depth_dex
1-26,4000,0.8083465573770502,0.9532857845116869,0.1449392271346367,4.49114426381201
1-6,4000,0.7457482988618214,0.9510327471530104,0.20528444829118908,4.238722207019501
6-12,4000,0.8474470073369516,0.951162726614591,0.10371571927763945,2.89112543700963
12-20,4000,0.8801979270863599,0.9554979443484506,0.07530001726209068,2.328322054675535
