variant,window,accuracy
clean,,0.9605146406388643
absorbers,,0.7231588287488908
restore,2.75-3.05,0.8593611357586513
transplant,2.75-3.05,0.8416149068322981
restore,2.75-4.3,0.8812111801242236
transplant,2.75-4.3,0.8645740905057675
