axis,case,kind,clean,frozen,augmented,oracle,pct_vs_clean,pct_vs_oracle,irreducible
white noise,snr8,stochastic,0.9605146406388643,0.9195874001774624,0.9316770186335404,0.930678793256433,29.53929539295362,109.00000000000014,2.983584738243128
correlated noise,snr8,stochastic,0.9605146406388643,0.8934117125110914,0.9236912156166814,0.9282386867790594,45.1239669421487,86.94267515923572,3.2275953859804862
white noise,snr5,stochastic,0.9605146406388643,0.9010647737355812,0.9161490683229814,0.9171472937000887,25.373134328358137,93.79310344827584,4.336734693877553
correlated noise,snr5,stochastic,0.9605146406388643,0.8521517302573203,0.8968500443655724,0.917036379769299,41.24872057318327,68.88888888888904,4.34782608695653
white noise,snr5 (aug incl. SNR 5),stochastic,0.9605146406388643,0.9010647737355812,0.918589174800355,0.9171472937000887,29.477611940298477,108.96551724137949,4.336734693877553
correlated noise,snr5 (aug incl. SNR 5),stochastic,0.9605146406388643,0.8521517302573203,0.9057231588287489,0.917036379769299,49.43705220061412,82.56410256410263,4.34782608695653
gain ramp,x1.0,deterministic,0.9605146406388643,0.9496450754214728,0.9549689440993788,0.9551907719609583,48.979591836734656,95.99999999999984,0.5323868677906018
gain ramp,x2.0,deterministic,0.9605146406388643,0.934893522626442,0.9505323868677906,0.955301685891748,61.03896103896093,76.63043478260866,0.521295474711625
stellar spots,tlse_spots10,deterministic,0.9605146406388643,0.8890860692102928,0.9417701863354038,0.9452085181898846,73.75776397515533,93.87351778656142,1.5306122448979664
stellar spots,tlse_spots20,deterministic,0.9605146406388643,0.8532608695652174,0.9370008873114464,0.9403283052351376,78.07652533609102,96.17834394904463,2.018633540372672
haze,haze_3p0e7,deterministic,0.9605146406388643,0.9099378881987578,0.948092280390417,0.9524179236912156,75.43859649122804,89.81723237597919,0.8096716947648686
exotransmit,exotransmit,deterministic,0.9605146406388643,0.9535270629991127,0.9572981366459627,0.9572981366459627,53.96825396825379,,0.32165039929015204
exomol,exomol,deterministic,0.9605146406388643,0.8703416149068323,0.9504214729370009,0.9504214729370009,88.80688806888062,,1.0093167701863415
absorbers,absorbers,deterministic,0.9605146406388643,0.7231588287488908,0.9611801242236024,0.9611801242236024,100.28037383177566,,-0.0665483584738169
