part,variant,case,accuracy,recall,loss,phot_noise_factor
photnoise,published,clean,81.08638743455498,63.227835476490206,0.0,1.0
photnoise,published,haze3e7,63.37041884816754,6.094189809880669,17.71596858638744,1.0
photnoise,published,spots20,70.32722513089004,26.310845427128847,10.759162303664937,1.0
photnoise,no optical,clean,77.29712041884815,52.98534814203076,0.0,1.0
photnoise,no optical,haze3e7,71.70157068062827,33.319702755326155,5.595549738219887,1.0
photnoise,no optical,spots20,74.12303664921467,43.65965148940019,3.1740837696334836,1.0
photnoise,published,clean,79.58115183246073,59.33777232463881,0.0,3.0
photnoise,published,haze3e7,63.93324607329843,8.719671241474545,15.647905759162306,3.0
photnoise,published,spots20,71.63612565445027,31.189002676382252,7.945026178010465,3.0
photnoise,no optical,clean,77.29712041884815,52.98534814203076,0.0,3.0
photnoise,no optical,haze3e7,71.70157068062827,33.319702755326155,5.595549738219887,3.0
photnoise,no optical,spots20,74.12303664921467,43.65965148940019,3.1740837696334836,3.0
photnoise,published,clean,77.68979057591623,54.42913157556612,0.0,10.0
photnoise,published,haze3e7,67.467277486911,20.81955508181108,10.222513089005233,10.0
photnoise,published,spots20,73.33115183246073,40.55950429527046,4.358638743455501,10.0
photnoise,no optical,clean,77.29712041884815,52.98534814203076,0.0,10.0
photnoise,no optical,haze3e7,71.70157068062827,33.319702755326155,5.595549738219887,10.0
photnoise,no optical,spots20,74.12303664921467,43.65965148940019,3.1740837696334836,10.0
