threshold,molecule,classifier,clean,cloud1e4,cloud1e3,cloud1e2,cloud1e1,haze2e5,haze2e6,haze3e7,haze2p4e8,haze1e10,absorbers,exomol,exotransmit,spots02,spots05,spots10,spots20,fac10,compound,white_x1.5,white_x2,white_x3,corr_x1.5,corr_x2,corr_x3,ramp_x1,ramp_x2
1e-4,CH4,KNN,0.8345549738219895,0.8450261780104712,0.86282722513089,0.8366492146596859,0.7570680628272252,0.8397905759162304,0.8293193717277487,0.7392670157068063,0.6858638743455497,0.625130890052356,0.8282722513089005,0.8366492146596859,0.8251308900523561,0.8408376963350785,0.8397905759162304,0.8303664921465969,0.793717277486911,0.8345549738219895,0.6712041884816754,0.8073298429319372,0.7842931937172775,0.7277486910994765,0.7329842931937173,0.6816753926701571,0.6523560209424084,0.7979057591623037,0.7068062827225131
1e-4,CH4,MLP,0.8534031413612565,0.8586387434554974,0.8293193717277487,0.7225130890052356,0.6554973821989529,0.8439790575916231,0.6837696335078534,0.6240837696335079,0.6240837696335079,0.5832460732984294,0.8450261780104712,0.8408376963350785,0.831413612565445,0.8471204188481676,0.8178010471204189,0.7706806282722513,0.7214659685863875,0.8387434554973822,0.6240837696335079,0.8146596858638744,0.7717277486910995,0.7162303664921466,0.7706806282722513,0.7256544502617801,0.6973821989528796,0.8324607329842932,0.7905759162303665
1e-4,CH4,RFC,0.8219895287958116,0.837696335078534,0.8073298429319372,0.7036649214659686,0.6565445026178011,0.8198952879581152,0.7026178010471205,0.6628272251308901,0.6240837696335079,0.6240837696335079,0.8272251308900523,0.7654450261780105,0.7769633507853403,0.812565445026178,0.7832460732984293,0.7581151832460733,0.7277486910994765,0.818848167539267,0.650261780104712,0.7455497382198953,0.7026178010471205,0.6607329842931937,0.7424083769633508,0.7057591623036649,0.6596858638743456,0.7643979057591623,0.6020942408376964
1e-4,CH4,SVC,0.8575916230366493,0.8712041884816754,0.8439790575916231,0.7350785340314137,0.6544502617801047,0.8523560209424084,0.7256544502617801,0.6240837696335079,0.6240837696335079,0.6240837696335079,0.8554973821989529,0.8387434554973822,0.8240837696335078,0.837696335078534,0.8167539267015707,0.7780104712041885,0.7371727748691099,0.8575916230366493,0.6240837696335079,0.7884816753926701,0.7486910994764397,0.7005235602094241,0.7549738219895288,0.7204188481675393,0.6732984293193718,0.8408376963350785,0.7863874345549738
1e-4,H2O,KNN,0.6785340314136126,0.6879581151832461,0.6827225130890052,0.6523560209424084,0.6376963350785341,0.6732984293193718,0.6649214659685864,0.6261780104712041,0.6198952879581152,0.6178010471204188,0.6837696335078534,0.6712041884816754,0.6649214659685864,0.6837696335078534,0.6900523560209424,0.6827225130890052,0.6732984293193718,0.6732984293193718,0.625130890052356,0.6680628272251309,0.6513089005235602,0.625130890052356,0.643979057591623,0.6272251308900524,0.6115183246073298,0.680628272251309,0.6628272251308901
1e-4,H2O,MLP,0.7863874345549738,0.8083769633507853,0.749738219895288,0.6910994764397905,0.6481675392670158,0.7643979057591623,0.6418848167539267,0.618848167539267,0.6178010471204188,0.6198952879581152,0.7801047120418848,0.743455497382199,0.7581151832460733,0.7821989528795812,0.7675392670157068,0.7403141361256544,0.6952879581151833,0.7717277486910995,0.618848167539267,0.7340314136125654,0.7109947643979058,0.675392670157068,0.7141361256544503,0.6764397905759162,0.650261780104712,0.7225130890052356,0.6712041884816754
1e-4,H2O,RFC,0.7602094240837697,0.7643979057591623,0.7172774869109948,0.6659685863874345,0.6324607329842932,0.7361256544502618,0.6356020942408377,0.6198952879581152,0.6198952879581152,0.618848167539267,0.7549738219895288,0.7350785340314137,0.7308900523560209,0.7308900523560209,0.7057591623036649,0.6858638743455497,0.6586387434554973,0.7602094240837697,0.618848167539267,0.7193717277486911,0.6921465968586388,0.6534031413612565,0.7068062827225131,0.6879581151832461,0.6586387434554973,0.6921465968586388,0.6492146596858639
1e-4,H2O,SVC,0.7832460732984293,0.7895287958115184,0.7403141361256544,0.6795811518324607,0.6450261780104712,0.7675392670157068,0.6345549738219896,0.618848167539267,0.618848167539267,0.618848167539267,0.7853403141361257,0.7570680628272252,0.7507853403141361,0.7706806282722513,0.7455497382198953,0.7256544502617801,0.6816753926701571,0.7905759162303665,0.618848167539267,0.7298429319371728,0.7015706806282722,0.6628272251308901,0.7141361256544503,0.6848167539267016,0.6554973821989529,0.7340314136125654,0.6774869109947644
1e-4,CO2,KNN,0.7863874345549738,0.7905759162303665,0.7780104712041885,0.7612565445026178,0.743455497382199,0.7926701570680629,0.7821989528795812,0.7340314136125654,0.6837696335078534,0.612565445026178,0.7895287958115184,0.7350785340314137,0.7528795811518325,0.7863874345549738,0.7811518324607329,0.7821989528795812,0.7570680628272252,0.7832460732984293,0.6628272251308901,0.7392670157068063,0.724607329842932,0.7047120418848167,0.7015706806282722,0.6628272251308901,0.6366492146596858,0.7832460732984293,0.7267015706806282
1e-4,CO2,MLP,0.8282722513089005,0.8261780104712042,0.7958115183246073,0.7340314136125654,0.6879581151832461,0.8083769633507853,0.6596858638743456,0.5947643979057592,0.5958115183246073,0.5979057591623037,0.8356020942408376,0.7905759162303665,0.7842931937172775,0.8146596858638744,0.7811518324607329,0.7424083769633508,0.6816753926701571,0.8219895287958116,0.5958115183246073,0.7654450261780105,0.7204188481675393,0.6764397905759162,0.7340314136125654,0.6973821989528796,0.6523560209424084,0.7926701570680629,0.7068062827225131
