case,axis,in_range,score,accuracy_all,coverage,accuracy_accepted,clean_selective_same_coverage,auroc_error,credit
clean,clean,True,margin,0.8792147293700089,0.8999556344276841,0.9118807000246487,0.9118807000246487,0.842335183665734,0.0
clean,clean,True,ensemble,0.8792147293700089,0.8999556344276841,0.9097855558294307,0.9097855558294307,0.811021554235197,0.0
clean,clean,True,mahalanobis,0.8792147293700089,0.8999556344276841,0.8774956864678334,0.8774956864678334,0.4292275369032597,0.0
clean,clean,True,knn,0.8792147293700089,0.8999556344276841,0.8824254375154055,0.8824254375154055,0.5673399708056863,0.0
cloud_1e5Pa,aero,True,margin,0.8665705412599822,0.8805456965394853,0.9036402569593147,0.9185035898727799,0.826624828346813,-0.0148633329134652
cloud_1e5Pa,aero,True,ensemble,0.8665705412599822,0.8865350488021295,0.90028775178281,0.9131740272738647,0.8010614702205193,-0.0128862754910547
cloud_1e5Pa,aero,True,mahalanobis,0.8665705412599822,0.882209405501331,0.8654764898164445,0.8771687201408096,0.457271748739419,-0.01169223032436506
cloud_1e5Pa,aero,True,knn,0.8665705412599822,0.8763309671694764,0.8744462726237185,0.882926211871915,0.5940624355319729,-0.008479939248196455
cloud_1e4Pa,aero,True,margin,0.8181011535048802,0.849600709849157,0.864621409921671,0.9295039164490861,0.7868575902068674,-0.06488250652741512
cloud_1e4Pa,aero,True,ensemble,0.8181011535048802,0.8582519964507542,0.8565520806409925,0.9210390281726544,0.7683550969525422,-0.06448694753166184
cloud_1e4Pa,aero,True,mahalanobis,0.8181011535048802,0.7711845607808341,0.8292823241766144,0.8719976988350352,0.5163394959261415,-0.04271537465842079
cloud_1e4Pa,aero,True,knn,0.8181011535048802,0.7824977817213842,0.8449326718639263,0.8847625797306875,0.6257212746680071,-0.039829907866761216
cloud_1e3Pa,aero,True,margin,0.7555456965394853,0.8157719609582964,0.7985044187627465,0.9382732834806254,0.7152802903065265,-0.13976886471787897
cloud_1e3Pa,aero,True,ensemble,0.7555456965394853,0.8097826086956522,0.7903026982605122,0.9305574578824819,0.6879248134763783,-0.14025475962196965
cloud_1e3Pa,aero,True,mahalanobis,0.7555456965394853,0.5496894409937888,0.7832929782082324,0.8633979015334947,0.5577526527863181,-0.08010492332526231
cloud_1e3Pa,aero,True,knn,0.7555456965394853,0.5673247559893523,0.8001955034213099,0.8934506353861192,0.6056326883379708,-0.09325513196480939
cloud_1e2Pa,aero,False,margin,0.6449645075421473,0.7433451641526175,0.6886004177857357,0.9555356609967174,0.6392532374475625,-0.2669352432109817
cloud_1e2Pa,aero,False,ensemble,0.6449645075421473,0.7194986690328306,0.6775088638816094,0.9482041005087097,0.603496112967707,-0.2706952366271004
cloud_1e2Pa,aero,False,mahalanobis,0.6449645075421473,0.2686335403726708,0.7159372419488026,0.837737407101569,0.5701915485890452,-0.12180016515276637
cloud_1e2Pa,aero,False,knn,0.6449645075421473,0.26652617568766634,0.7324178110694964,0.9171868497711194,0.5864450140930271,-0.18476903870162298
cloud_1e1Pa,aero,False,margin,0.5271739130434783,0.6454081632653061,0.537721257948101,0.9680357449733631,0.5230382539486771,-0.4303144870252621
cloud_1e1Pa,aero,False,ensemble,0.5271739130434783,0.6038154392191659,0.5314107274063189,0.9614254224834681,0.5098266270240621,-0.4300146950771492
cloud_1e1Pa,aero,False,mahalanobis,0.5271739130434783,0.05911712511091393,0.5684803001876173,0.7542213883677298,0.5047609473064384,-0.18574108818011248
cloud_1e1Pa,aero,False,knn,0.5271739130434783,0.05745341614906832,0.5540540540540541,0.9594594594594594,0.5080627374174929,-0.4054054054054054
haze_2p0e5,aero,True,margin,0.8771073646850045,0.8990683229813664,0.9127806563039724,0.9121638292622749,0.8458097315883565,0.0006168270416975208
haze_2p0e5,aero,True,ensemble,0.8771073646850045,0.9026175687666371,0.9079626443843696,0.9088228065863848,0.8179725690202674,-0.0008601622020152355
